# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# Model_dataset & validation set: coverage: 0.14238586
# Model_dataset & validation adv (2100): coverage: 0.0047275405
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.62857145 0.25714287 0.00097201765 0.00029455082
1 1.4095238 0.07619048 0.002179676 0.000117820324
2 0.9047619 0.1809524 0.0013991164 0.00019145802
3 0.82857144 0.2952381 0.001281296 0.00033873343
4 0.9047619 0.09523811 0.0013991164 0.000117820324
5 1.0095239 0.19999999 0.0015611193 0.00029455082
6 0.85714287 0.01904762 0.0013254787 2.9455081e-05
7 0.9047619 0.19999999 0.0013843888 0.00026509573
8 0.97142863 0.17142858 0.0015022091 0.00023564065
9 1.0380952 0.123809524 0.0016053019 0.00017673048
10 0.9142858 0.11428572 0.0014138438 0.00014727541
11 1.3333334 0.20952381 0.0020618557 0.0003240059
12 0.89523816 0.11428572 0.0013696613 0.00017673048
13 0.8857143 0.2857143 0.0013696613 0.00035346096
14 0.86666673 0.20952381 0.0013402061 0.00026509573
15 1.0857143 0.104761906 0.0016789396 0.00016200295
16 0.95238096 0.14285715 0.001472754 0.00019145802
17 1.2095239 0.21904764 0.0018556701 0.00030927834
18 0.98095244 0.26666668 0.0015169367 0.00038291604
19 1.0476191 0.21904764 0.0016200294 0.00027982326
20 0.9142858 0.123809524 0.0014138438 0.00014727541
21 1.1238096 0.1904762 0.0017378498 0.00026509573
22 1.1714287 0.08571429 0.0017967599 0.000117820324
23 1.3047619 0.20000002 0.002017673 0.00029455082
24 1.2761905 0.0952381 0.0019734905 0.00010309278
25 1.2285715 0.104761906 0.0018998528 0.00013254787
26 1.0190477 0.20000002 0.0015758468 0.00026509573
27 0.8095238 0.14285715 0.001251841 0.0002209131
28 1.1142858 0.23809524 0.0017231222 0.00030927834
29 0.9619048 0.14285715 0.0014874816 0.00020618556
30 0.7904762 0.104761906 0.0012223859 0.00014727541
31 0.89523816 0.24761905 0.0013843888 0.00029455082
32 0.95238096 0.11428572 0.001472754 0.00016200295
33 0.8285715 0.16190477 0.0012665684 0.00020618556
34 1.0380954 0.34285715 0.0016053019 0.0004418262
35 0.9047619 0.25714287 0.0013991164 0.00030927834
36 0.71428573 0.14285715 0.0011045656 0.00017673048
37 0.8857143 0.23809524 0.0013696613 0.0003681885
38 0.9142858 0.07619048 0.0013991164 0.000117820324
39 1.2285715 0.0952381 0.0018998528 0.00014727541
40 1.4000001 0.04761905 0.0021649485 7.3637704e-05
41 1.1142858 0.22857144 0.0017231222 0.00029455082
42 1.1142858 0.23809524 0.0017231222 0.00030927834
43 0.9333334 0.1904762 0.001443299 0.00026509573
44 0.72380954 0.13333334 0.001119293 0.00017673048
45 0.85714287 0.21904762 0.0013254787 0.00030927834
46 1.1238097 0.11428572 0.0017378498 0.00016200295
47 1.0666667 0.20952381 0.0016494845 0.00027982326
48 0.83809525 0.26666668 0.001281296 0.0003681885
49 1.0571429 0.17142858 0.0015758468 0.00020618556
50 0.9238095 0.16190477 0.0014285714 0.00016200295
51 0.9142858 0.123809524 0.0014138438 0.00019145802
52 1.0095237 0.11428572 0.0015611193 0.00016200295
53 1.4857143 0.03809524 0.0022974964 5.8910162e-05
54 0.94285715 0.21904762 0.0014580265 0.00030927834
55 1.0380952 0.23809524 0.0016053019 0.0003240059
56 1.1714286 0.11428572 0.0018114875 0.00016200295
57 1.1333334 0.1904762 0.0017525774 0.0002209131
58 0.79999995 0.0952381 0.0012371134 0.00013254787
59 1.0952381 0.14285715 0.0016936671 0.0002209131
60 0.9523811 0.1809524 0.001472754 0.00027982326
61 0.94285715 0.11428572 0.0014580265 0.00014727541
62 1.2 0.19999999 0.0018556701 0.00027982326
63 0.9619048 0.17142858 0.0014874816 0.0002209131
64 1.1904762 0.11428572 0.0018409425 0.00017673048
65 1.0857143 0.21904762 0.0016789396 0.00029455082
66 1.0476191 0.12380953 0.0016200294 0.00019145802
67 0.9238096 0.31428573 0.0014285714 0.0003681885
68 0.86666673 0.1809524 0.0013402061 0.00023564065
69 0.8857144 0.104761906 0.0013696613 0.00014727541
70 1.2571429 0.2952381 0.0019440353 0.00035346096
71 0.95238096 0.1904762 0.001472754 0.00026509573
72 1.0666667 0.14285716 0.0016494845 0.0002209131
73 1.104762 0.14285716 0.0017083947 0.00020618556
74 0.9142858 0.03809524 0.0014138438 5.8910162e-05
75 0.97142863 0.17142858 0.0015022091 0.00026509573
76 1.1333334 0.07619048 0.0017525774 0.000117820324
77 0.84761906 0.19999999 0.0013107511 0.00029455082
78 0.8952381 0.0952381 0.0013402061 0.00014727541
79 1.1809523 0.14285715 0.0018262151 0.0002209131
80 1.0095239 0.08571429 0.0015611193 0.000117820324
81 0.95238096 0.3619048 0.001472754 0.0003976436
82 0.9904762 0.23809524 0.0015316642 0.00030927834
83 1.1523811 0.31428573 0.0017820324 0.00038291604
84 0.86666673 0.21904764 0.0013402061 0.00033873343
85 0.647619 0.0952381 0.0010014727 0.00014727541
86 0.8857143 0.2857143 0.0013696613 0.0003976436
87 0.97142863 0.1904762 0.0015022091 0.00027982326
88 0.97142863 0.23809527 0.0015022091 0.0003240059
89 0.9238096 0.16190477 0.0014285714 0.00023564065
90 1.457143 0.06666667 0.0022533138 8.836524e-05
91 0.77142864 0.31428573 0.0011929307 0.0003976436
92 1.1428572 0.06666667 0.0017673048 0.00010309278
93 1.1619048 0.06666667 0.0017967599 0.00010309278
94 0.98095244 0.25714287 0.0015169367 0.0003681885
95 0.8761905 0.12380953 0.0013549337 0.00019145802
96 0.83809525 0.05714286 0.0012960236 8.836524e-05
97 1.0952381 0.0952381 0.0016936671 0.00014727541
98 0.98095244 0.20000002 0.0015169367 0.00029455082
99 1.2190477 0.20952381 0.0018851252 0.00027982326
