# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# Model_dataset & validation set: coverage: 0.14238586
# Model_dataset & validation adv (2100): density: 0.0047275405
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 1.0190477 0.21428572 0.0031369661 0.0004712813
1 0.86666673 0.1904762 0.0026656848 0.00041237113
2 0.9571429 0.17619048 0.0029602356 0.0004712813
3 0.8809524 0.1904762 0.0027098674 0.00038291604
4 1.0047619 0.0952381 0.003107511 0.00026509573
5 1.1238096 0.11428572 0.0034756996 0.0003240059
6 0.8904762 0.18571429 0.0027393226 0.00041237113
7 0.9761905 0.14285715 0.0030044182 0.00033873343
8 1.0809524 0.15714286 0.0033284242 0.00038291604
9 1.0142857 0.12380953 0.0031369661 0.00033873343
10 1.0190477 0.0952381 0.0031516936 0.00025036818
11 1.2380953 0.0952381 0.003814433 0.00026509573
12 1.252381 0.10952381 0.003873343 0.00030927834
13 0.9142858 0.11428572 0.0027982327 0.0003240059
14 1.0380952 0.11428572 0.0032106037 0.00025036818
15 0.8428572 0.123809524 0.0026067747 0.0003240059
16 0.8904762 0.10000001 0.0027393226 0.00026509573
17 0.97142863 0.1761905 0.0030044182 0.0004712813
18 0.79999995 0.19999999 0.0024594993 0.00058910163
19 1.0714287 0.0904762 0.003240059 0.00023564065
20 1.2571429 0.14285715 0.0038880706 0.00033873343
21 1.0238096 0.2809524 0.0031664213 0.00051546394
22 0.7904762 0.17619048 0.0024447718 0.00045655377
23 1.0952381 0.14285715 0.0033873343 0.00038291604
24 0.94761914 0.104761906 0.0028571428 0.0002209131
25 0.9190477 0.23333335 0.0028424154 0.00050073635
26 1.2476192 0.13809524 0.0038586156 0.00030927834
27 0.99047625 0.21428572 0.0030633283 0.00045655377
28 1.1523811 0.08095238 0.0035640649 0.0002209131
29 0.947619 0.12857142 0.002916053 0.00029455082
30 0.94761914 0.1809524 0.0029307806 0.00038291604
31 1.0809524 0.1761905 0.0033431516 0.00042709868
32 1.1380954 0.08571429 0.0035198822 0.00023564065
33 0.9857143 0.1904762 0.0030486009 0.00042709868
34 0.8761905 0.104761906 0.0027098674 0.00025036818
35 1.104762 0.25238097 0.0034167895 0.00048600882
36 1.0857142 0.19523811 0.0033578791 0.0003976436
37 0.9428572 0.11428572 0.002916053 0.00027982326
38 0.99047625 0.104761906 0.0030633283 0.00029455082
39 1.0380952 0.26190478 0.0031664213 0.0006921944
40 0.9809523 0.16666669 0.0030338734 0.00035346096
41 1.0714285 0.16666669 0.0033136967 0.0003976436
42 0.7571429 0.1904762 0.0023416788 0.00051546394
43 0.92857146 0.18571429 0.0028718703 0.00051546394
44 0.94761914 0.20476192 0.0029307806 0.00050073635
45 1.1142858 0.16190477 0.0034167895 0.0003681885
46 1.1523811 0.042857144 0.0035640649 0.000117820324
47 0.92857146 0.1904762 0.0028424154 0.00050073635
48 0.96666664 0.11428572 0.0029749633 0.00029455082
49 1.1 0.16190477 0.0034020618 0.00041237113
