# FGSM attack with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon in batches of (100 images)
# for each epsilon 20 batches so 400 metrics in total
# metrics between model_dataset & adv_validation_dataset
# Model_vali_adv_density Model_vali_adv_coverage
9.280000329017639160e-01 2.274999953806400299e-02
1.121999979019165039e+00 2.734999917447566986e-02
1.222000002861022949e+00 2.984999865293502808e-02
1.240000009536743164e+00 3.004999831318855286e-02
1.161999940872192383e+00 2.809999883174896240e-02
9.560000300407409668e-01 2.324999868869781494e-02
7.279999852180480957e-01 1.754999905824661255e-02
5.460000038146972656e-01 1.299999933689832687e-02
3.580000102519989014e-01 8.449999615550041199e-03
3.199999928474426270e-01 7.449999917298555374e-03
2.759999930858612061e-01 6.349999923259019852e-03
2.459999769926071167e-01 5.599999800324440002e-03
2.140000164508819580e-01 4.799999762326478958e-03
1.700000017881393433e-01 3.749999916180968285e-03
1.400000005960464478e-01 2.949999878183007240e-03
1.099999994039535522e-01 2.249999903142452240e-03
8.999999612569808960e-02 1.799999969080090523e-03
7.199999690055847168e-02 1.349999918602406979e-03
5.400000140070915222e-02 8.499999530613422394e-04
4.600000381469726562e-02 6.500000017695128918e-04
9.739999771118164062e-01 2.410000003874301910e-02
1.156000018119812012e+00 2.854999899864196777e-02
1.287999987602233887e+00 3.179999813437461853e-02
1.317999958992004395e+00 3.240000084042549133e-02
1.222000122070312500e+00 2.984999865293502808e-02
1.047999978065490723e+00 2.544999867677688599e-02
8.060000538825988770e-01 1.939999870955944061e-02
5.479999780654907227e-01 1.315000001341104507e-02
3.420000076293945312e-01 8.200000040233135223e-03
3.140000104904174805e-01 7.299999706447124481e-03
2.820000052452087402e-01 6.550000049173831940e-03
2.419999986886978149e-01 5.499999970197677612e-03
2.220000028610229492e-01 4.900000058114528656e-03
1.839999854564666748e-01 3.899999894201755524e-03
1.560000032186508179e-01 3.199999919161200523e-03
1.299999952316284180e-01 2.600000007078051567e-03
1.059999987483024597e-01 2.099999925121665001e-03
8.600000292062759399e-02 1.599999959580600262e-03
6.800000369548797607e-02 1.199999940581619740e-03
5.400000140070915222e-02 9.499999578110873699e-04
9.819999337196350098e-01 2.414999902248382568e-02
