# FGSM attack with model_dataset(20000 images)
# and valiudation_images(2100) 20 epsilon in batches of 100 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
9.280000329017639160e-01 2.274999953806400299e-02
9.739999771118164062e-01 2.410000003874301910e-02
9.819999337196350098e-01 2.414999902248382568e-02
1.090000033378601074e+00 2.694999985396862030e-02
1.133999943733215332e+00 2.795000001788139343e-02
1.061999917030334473e+00 2.594999969005584717e-02
9.119999408721923828e-01 2.245000004768371582e-02
8.980000019073486328e-01 2.224999852478504181e-02
1.141999959945678711e+00 2.840000018477439880e-02
8.559999465942382812e-01 2.125000022351741791e-02
1.027999997138977051e+00 2.474999986588954926e-02
1.131999969482421875e+00 2.804999984800815582e-02
9.280000329017639160e-01 2.294999919831752777e-02
1.076000094413757324e+00 2.654999867081642151e-02
9.540000557899475098e-01 2.359999902546405792e-02
9.360000491142272949e-01 2.314999885857105255e-02
9.899999499320983887e-01 2.410000003874301910e-02
9.719999432563781738e-01 2.389999851584434509e-02
8.080000281333923340e-01 2.009999938309192657e-02
1.106000065803527832e+00 2.694999985396862030e-02
