# FGSM attack with model_dataset(20000 images)
# and valiudation_images(2100) 20 epsilon
# Epsilon Model_accuracy Model_adv_coverage Vali_adv_coverage
# Model_dataset & validation set: 0.39159998
0.000000000000000000e+00 9.942000000737607479e-01 1.000000000000000000e+00 1.000000000000000000e+00
5.263157894736841813e-02 9.935499997809529305e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.052631578947368363e-01 9.931499999947845936e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.578947368421052544e-01 9.917500000447034836e-01 9.999499917030334473e-01 9.999499917030334473e-01
2.105263157894736725e-01 9.907999997958540916e-01 9.895499944686889648e-01 9.895499944686889648e-01
2.631578947368420907e-01 9.895500000566244125e-01 9.451999664306640625e-01 9.451999664306640625e-01
3.157894736842105088e-01 9.869999997317790985e-01 9.153999686241149902e-01 9.153999686241149902e-01
3.684210526315789269e-01 9.840500000864267349e-01 9.003999829292297363e-01 9.003999829292297363e-01
4.210526315789473450e-01 9.804999995976686478e-01 8.838499784469604492e-01 8.838499784469604492e-01
4.736842105263157632e-01 9.668500013649463654e-01 8.715499639511108398e-01 8.715499639511108398e-01
5.263157894736841813e-01 9.405499994754791260e-01 8.534500002861022949e-01 8.534500002861022949e-01
5.789473684210526550e-01 8.857000023126602173e-01 8.269499540328979492e-01 8.269499540328979492e-01
6.315789473684210176e-01 7.900499999523162842e-01 7.872499823570251465e-01 7.872499823570251465e-01
6.842105263157893802e-01 6.838999986648559570e-01 7.335000038146972656e-01 7.335000038146972656e-01
7.368421052631578538e-01 5.807000100612640381e-01 6.677500009536743164e-01 6.677500009536743164e-01
7.894736842105263275e-01 4.886999726295471191e-01 5.841999650001525879e-01 5.841999650001525879e-01
8.421052631578946901e-01 4.024500250816345215e-01 4.915999770164489746e-01 4.915999770164489746e-01
8.947368421052630527e-01 3.337500095367431641e-01 3.978499770164489746e-01 3.978499770164489746e-01
9.473684210526315264e-01 2.811499834060668945e-01 3.034499883651733398e-01 3.034499883651733398e-01
1.000000000000000000e+00 2.455000281333923340e-01 2.186499983072280884e-01 2.186499983072280884e-01
