# FGSM attack with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.99723816
0.000000000000000000e+00 9.895238094031810760e-01 9.972381591796875000e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.192285895347595215e+00
1.052631578947368363e-01 9.876190479844808578e-01 1.301904797554016113e+00
1.578947368421052544e-01 9.871428571641445160e-01 1.309047579765319824e+00
2.105263157894736725e-01 9.857142856344580650e-01 1.224381089210510254e+00
2.631578947368420907e-01 9.833333324640989304e-01 1.055142879486083984e+00
3.157894736842105088e-01 9.823809526860713959e-01 8.158094882965087891e-01
3.684210526315789269e-01 9.785714279860258102e-01 5.740000009536743164e-01
4.210526315789473450e-01 9.757142849266529083e-01 3.593333363533020020e-01
4.736842105263157632e-01 9.628571420907974243e-01 3.244762122631072998e-01
5.263157894736841813e-01 9.328571408987045288e-01 2.945714592933654785e-01
5.789473684210526550e-01 8.842857107520103455e-01 2.569524049758911133e-01
6.315789473684210176e-01 7.828571498394012451e-01 2.217143028974533081e-01
6.842105263157893802e-01 6.809523701667785645e-01 1.859999895095825195e-01
7.368421052631578538e-01 5.699999928474426270e-01 1.525714248418807983e-01
7.894736842105263275e-01 4.700000286102294922e-01 1.227619126439094543e-01
8.421052631578946901e-01 4.004762172698974609e-01 9.561904519796371460e-02
8.947368421052630527e-01 3.319047689437866211e-01 7.514286041259765625e-02
9.473684210526315264e-01 2.871428728103637695e-01 5.723810195922851562e-02
1.000000000000000000e+00 2.461904883384704590e-01 4.314285889267921448e-02
