# FGSM attack resnet50 model with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.39159998
0.000000000000000000e+00 5.280952453613281250e-01 3.915999829769134521e-01
5.263157894736841813e-02 5.476190447807312012e-01 4.427999854087829590e-01
1.052631578947368363e-01 5.733333230018615723e-01 4.622499942779541016e-01
1.578947368421052544e-01 5.957142710685729980e-01 4.466499984264373779e-01
2.105263157894736725e-01 6.142857074737548828e-01 4.129999876022338867e-01
2.631578947368420907e-01 6.333333253860473633e-01 3.576999902725219727e-01
3.157894736842105088e-01 6.466666758060455322e-01 2.828499972820281982e-01
3.684210526315789269e-01 6.599999964237213135e-01 2.001999914646148682e-01
4.210526315789473450e-01 6.642857193946838379e-01 1.288999915122985840e-01
4.736842105263157632e-01 6.190476119518280029e-01 1.042499989271163940e-01
5.263157894736841813e-01 5.623809397220611572e-01 8.150000125169754028e-02
5.789473684210526550e-01 4.871428608894348145e-01 6.324999779462814331e-02
6.315789473684210176e-01 4.323809742927551270e-01 4.694999754428863525e-02
6.842105263157893802e-01 3.909524083137512207e-01 3.680000081658363342e-02
7.368421052631578538e-01 3.471428751945495605e-01 2.879999950528144836e-02
7.894736842105263275e-01 3.066666722297668457e-01 2.324999868869781494e-02
8.421052631578946901e-01 2.714285850524902344e-01 2.005000039935112000e-02
8.947368421052630527e-01 2.366666793823242188e-01 1.819999888539314270e-02
9.473684210526315264e-01 2.028571367263793945e-01 1.730000041425228119e-02
1.000000000000000000e+00 1.757143139839172363e-01 1.699999906122684479e-02
