# FGSM attack underfit model with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.99723816
0.000000000000000000e+00 7.890476137399673462e-01 9.972381591796875000e-01
5.263157894736841813e-02 7.823809534311294556e-01 1.193523764610290527e+00
1.052631578947368363e-01 7.747619003057479858e-01 1.300571560859680176e+00
1.578947368421052544e-01 7.666666656732559204e-01 1.309523820877075195e+00
2.105263157894736725e-01 7.600000053644180298e-01 1.220952391624450684e+00
2.631578947368420907e-01 7.514285743236541748e-01 1.048666596412658691e+00
3.157894736842105088e-01 7.404761910438537598e-01 8.167618513107299805e-01
3.684210526315789269e-01 7.257142961025238037e-01 5.699999928474426270e-01
4.210526315789473450e-01 7.066666781902313232e-01 3.556190729141235352e-01
4.736842105263157632e-01 6.280952394008636475e-01 2.699047625064849854e-01
5.263157894736841813e-01 5.180952250957489014e-01 2.013333439826965332e-01
5.789473684210526550e-01 4.214285612106323242e-01 1.422857046127319336e-01
6.315789473684210176e-01 3.357142806053161621e-01 9.342857450246810913e-02
6.842105263157893802e-01 2.547619342803955078e-01 6.000000238418579102e-02
7.368421052631578538e-01 1.823809742927551270e-01 3.533333167433738708e-02
7.894736842105263275e-01 1.295238137245178223e-01 1.771428436040878296e-02
8.421052631578946901e-01 9.190475940704345703e-02 9.428571909666061401e-03
8.947368421052630527e-01 6.333333253860473633e-02 4.857142921537160873e-03
9.473684210526315264e-01 4.761904478073120117e-02 2.095238072797656059e-03
1.000000000000000000e+00 3.047621250152587891e-02 9.523809421807527542e-04
