# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# Model_dataset & validation set: coverage: 0.14238586
# Model_dataset & validation adv (2100): coverage: 0.0047275405
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.9466668 0.14666668 0.008321061 0.0008100147
1 0.9783334 0.15833335 0.008600883 0.00078055967
2 0.98833334 0.14666668 0.008689249 0.0007952872
3 1.0550001 0.15833335 0.009307805 0.0008394698
4 1.1066668 0.15333335 0.009734904 0.0008100147
5 0.92833346 0.15833335 0.008173785 0.0007658321
6 0.94500005 0.14666668 0.00826215 0.00091310753
7 1.0533334 0.18000002 0.0092783505 0.0009572901
8 0.9866668 0.19000001 0.008571428 0.0010309279
9 1.0933335 0.155 0.009617084 0.0008100147
10 0.9850001 0.15166669 0.008674521 0.0008100147
11 1.0616668 0.13500002 0.00933726 0.0006185567
12 1.0433334 0.20333336 0.009219441 0.0007952872
13 0.97333336 0.10166668 0.008483063 0.0007069219
14 0.9383334 0.17000002 0.00820324 0.00091310753
15 1.0100001 0.2366667 0.008836525 0.0011634757
16 0.9766667 0.15333334 0.008600883 0.0008394698
