# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.95399994 0.212 0.006980854 0.0009572901
1 0.944 0.12399999 0.0069366717 0.00066273933
2 0.976 0.158 0.0071575847 0.00067746686
3 1.038 0.148 0.0076141385 0.00067746686
4 1.12 0.164 0.008232695 0.00082474225
5 1.058 0.14199999 0.007746686 0.0006480118
6 0.93200004 0.166 0.006863034 0.0007216495
7 0.884 0.182 0.006480118 0.00091310753
8 1.15 0.15200001 0.008424154 0.00066273933
9 0.93200004 0.21 0.006863034 0.00092783506
10 0.978 0.252 0.0070692194 0.00097201765
11 1.132 0.116000004 0.008306333 0.00060382916
12 0.96199995 0.238 0.007054492 0.00097201765
13 1.126 0.13000001 0.00826215 0.0007216495
14 0.966 0.154 0.0071134022 0.00050073635
15 1.002 0.174 0.0073490427 0.0007658321
16 1.0200001 0.182 0.007437408 0.00089837995
17 0.92599994 0.172 0.006789396 0.0006921944
18 0.934 0.204 0.0068188515 0.0009572901
19 1.102 0.172 0.0080559645 0.000736377
