# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.95600003 2.246 0.008828635 0.012522626
1 0.95199996 3.152 0.008699346 0.01784197
2 1.22 2.834 0.011266669 0.016567545
3 0.98399997 2.8579998 0.009013335 0.016235085
4 0.93600005 3.908 0.008514646 0.01767574
5 0.9919999 2.95 0.009124155 0.016863063
6 0.96 2.6640003 0.008865575 0.0154593475
7 0.964 2.562 0.008865575 0.015884157
8 1.1800001 2.5519998 0.0108788 0.015699457
9 0.96199995 3.376 0.008884045 0.017380223
10 1.068 3.0159998 0.009789073 0.016696835
11 0.942 2.298 0.008662406 0.0131690735
12 1.018 2.426 0.009308854 0.015754867
13 1.014 2.488 0.009364264 0.015053009
14 0.944 2.7080002 0.008680876 0.015403938
15 0.918 2.5440001 0.0084038265 0.01460973
16 0.94 2.9399998 0.008588526 0.014849839
17 1.038 2.36 0.009438144 0.015163829
18 1.13 3.28 0.010435522 0.017121643
19 1.038 2.686 0.009548964 0.016161205
20 0.97999996 2.718 0.009050275 0.015182299
21 1.056 3.1580002 0.009696723 0.017343283
22 1.028 2.758 0.009493554 0.016678365
23 1.04 3.308 0.009548964 0.017472573
24 0.98399997 2.3200002 0.009087215 0.013556942
25 1.048 2.228 0.009659784 0.0146282
26 1.088 2.8079998 0.009955303 0.016308965
27 0.98800004 2.318 0.009124155 0.013630822
28 1.0159999 2.116 0.009345794 0.013316833
29 1.1420001 2.836 0.010417052 0.01791585
30 0.9939999 3.0000002 0.009013335 0.01813749
31 0.968 2.4320002 0.008828635 0.014203391
32 1.056 2.1980002 0.009641314 0.013797052
33 0.98800004 3.4740002 0.009124155 0.017140113
34 0.91999996 2.512 0.0084592365 0.015089949
35 1.02 3.0140002 0.009382734 0.015625577
36 0.98599994 2.59 0.009050275 0.014000221
37 1.0059999 3.4440002 0.009290384 0.01769421
38 1.026 2.642 0.009456614 0.0144435
39 1.0300001 2.262 0.009512024 0.013520003
40 0.96999997 2.262 0.008957925 0.012836615
41 0.9940001 2.84 0.009124155 0.015330058
42 1.046 2.858 0.009659784 0.015680987
43 1.186 2.208 0.01091574 0.015699457
44 1.03 2.352 0.009512024 0.0154593475
45 0.98800004 2.748 0.009087215 0.015089949
46 1.0419999 3.166 0.009548964 0.017177053
