# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.562 9.011001 0.018397879 0.13552886
1 0.47599998 4.7910004 0.015549809 0.10848856
2 0.406 12.289001 0.012996366 0.14161783
3 0.515 11.926002 0.016793793 0.1938652
4 0.73100007 16.538002 0.023406554 0.23102106
5 1.0990002 10.909001 0.0358464 0.15156971
6 0.33399996 15.099999 0.010835761 0.20669788
7 0.337 6.882 0.010966707 0.14512064
8 1.0199999 13.655003 0.030641308 0.17134252
9 1.0389999 10.328001 0.033620324 0.11280977
10 0.6119999 9.193 0.019838283 0.18859462
11 0.68899995 7.3030005 0.022391725 0.1324189
12 1.651 11.316999 0.05303303 0.21157561
13 0.58699995 12.601001 0.017219367 0.171408
14 1.311 13.696001 0.040429503 0.27135235
15 0.7049999 6.264 0.022915509 0.1106819
16 0.91899985 9.530001 0.029855633 0.18460079
17 1.3539999 11.136 0.04147707 0.19805546
18 1.0339998 9.309999 0.033751268 0.16967297
19 0.82199997 11.356001 0.026516516 0.20263857
20 0.85199994 9.515 0.027564082 0.14083216
21 1.165 7.733 0.037876062 0.2048319
22 0.877 6.2300005 0.02831702 0.0853439
23 0.704 7.1160007 0.022457197 0.16567913
24 0.583 7.668 0.018954398 0.09725996
25 1.5910001 4.3480005 0.050446853 0.12479131
