# FGSM attack with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon in batches of 42 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.038095235824584961e+00 1.069999951869249344e-02
1.233333468437194824e+00 1.269999984651803970e-02
1.319047689437866211e+00 1.359999924898147583e-02
1.361904859542846680e+00 1.399999950081110001e-02
1.290476322174072266e+00 1.319999992847442627e-02
1.061904788017272949e+00 1.090000011026859283e-02
7.952380776405334473e-01 8.100000210106372833e-03
5.857142806053161621e-01 5.949999671429395676e-03
4.190476238727569580e-01 4.199999850243330002e-03
3.619047701358795166e-01 3.599999938160181046e-03
2.952381074428558350e-01 2.899999963119626045e-03
2.666666805744171143e-01 2.549999859184026718e-03
2.238095402717590332e-01 2.149999840185046196e-03
1.714285761117935181e-01 1.599999959580600262e-03
1.380952447652816772e-01 1.300000003539025784e-03
9.999999403953552246e-02 9.999999310821294785e-04
8.095238357782363892e-02 7.999999797903001308e-04
6.190476566553115845e-02 5.999999702908098698e-04
5.238095298409461975e-02 4.499999922700226307e-04
4.285714402794837952e-02 3.499999875202775002e-04
8.476190567016601562e-01 8.799999952316284180e-03
1.047619104385375977e+00 1.084999926388263702e-02
1.161904811859130859e+00 1.205000001937150955e-02
1.166666746139526367e+00 1.205000001937150955e-02
1.071428537368774414e+00 1.109999977052211761e-02
8.761904835700988770e-01 9.149999357759952545e-03
6.857143044471740723e-01 7.149999961256980896e-03
5.142857432365417480e-01 5.299999844282865524e-03
2.952380776405334473e-01 3.049999941140413284e-03
2.761904895305633545e-01 2.849999815225601196e-03
2.476190477609634399e-01 2.549999859184026718e-03
2.238095253705978394e-01 2.300000051036477089e-03
2.190476208925247192e-01 2.199999988079071045e-03
1.809523850679397583e-01 1.799999969080090523e-03
1.523809581995010376e-01 1.449999981559813023e-03
1.238095238804817200e-01 1.150000025518238544e-03
1.047619059681892395e-01 9.999999310821294785e-04
8.571428805589675903e-02 7.999999797903001308e-04
6.190476566553115845e-02 5.499999970197677612e-04
5.238095298409461975e-02 4.499999922700226307e-04
8.857142329216003418e-01 9.250000119209289551e-03
1.009523868560791016e+00 1.054999977350234985e-02
1.076190471649169922e+00 1.124999951571226120e-02
1.066666722297668457e+00 1.114999968558549881e-02
9.666666388511657715e-01 1.004999969154596329e-02
7.904762029647827148e-01 8.200000040233135223e-03
6.190476417541503906e-01 6.399999838322401047e-03
4.809524118900299072e-01 4.949999973177909851e-03
3.380952477455139160e-01 3.499999875202775002e-03
3.000000119209289551e-01 2.949999878183007240e-03
2.809523642063140869e-01 2.749999985098838806e-03
2.476190477609634399e-01 2.399999881163239479e-03
2.095238417387008667e-01 1.949999947100877762e-03
1.619047671556472778e-01 1.500000013038516045e-03
1.428571492433547974e-01 1.249999972060322762e-03
1.285714358091354370e-01 1.099999994039535522e-03
1.142857223749160767e-01 9.499999578110873699e-04
9.047619253396987915e-02 6.999999750405550003e-04
7.142857462167739868e-02 4.999999655410647392e-04
7.142857462167739868e-02 4.999999655410647392e-04
9.476191401481628418e-01 9.899999946355819702e-03
1.171428561210632324e+00 1.224999967962503433e-02
1.352380990982055664e+00 1.414999924600124359e-02
1.433333396911621094e+00 1.484999991953372955e-02
1.376190543174743652e+00 1.420000009238719940e-02
1.166666746139526367e+00 1.209999993443489075e-02
8.857142925262451172e-01 9.200000204145908356e-03
6.238095164299011230e-01 6.449999753385782242e-03
3.714285790920257568e-01 3.899999894201755524e-03
3.333333432674407959e-01 3.499999875202775002e-03
2.904762029647827148e-01 3.049999941140413284e-03
2.428571581840515137e-01 2.499999944120645523e-03
2.142857164144515991e-01 2.149999840185046196e-03
1.857142895460128784e-01 1.799999969080090523e-03
1.523809432983398438e-01 1.500000013038516045e-03
1.238095238804817200e-01 1.249999972060322762e-03
9.523809701204299927e-02 9.499999578110873699e-04
8.095238357782363892e-02 7.999999797903001308e-04
5.238095298409461975e-02 5.499999970197677612e-04
3.333333507180213928e-02 3.499999875202775002e-04
1.042857289314270020e+00 1.090000011026859283e-02
1.228571534156799316e+00 1.279999967664480209e-02
1.366666674613952637e+00 1.425000000745058060e-02
1.376190543174743652e+00 1.434999983757734299e-02
1.276190519332885742e+00 1.329999975860118866e-02
1.157142877578735352e+00 1.194999925792217255e-02
9.285714626312255859e-01 9.499999694526195526e-03
5.857143402099609375e-01 5.949999671429395676e-03
3.666666746139526367e-01 3.700000001117587090e-03
3.428571522235870361e-01 3.449999960139393806e-03
3.095238208770751953e-01 3.150000004097819328e-03
2.666666805744171143e-01 2.699999837204813957e-03
2.476190477609634399e-01 2.549999859184026718e-03
2.095238119363784790e-01 2.099999925121665001e-03
1.714285761117935181e-01 1.699999906122684479e-03
1.333333402872085571e-01 1.300000003539025784e-03
9.047619998455047607e-02 8.499999530613422394e-04
7.142857462167739868e-02 6.500000017695128918e-04
6.666667014360427856e-02 5.999999702908098698e-04
4.761904850602149963e-02 3.999999898951500654e-04
1.076190471649169922e+00 1.129999943077564240e-02
1.309523940086364746e+00 1.374999992549419403e-02
1.466666698455810547e+00 1.539999991655349731e-02
1.461904883384704590e+00 1.535000000149011612e-02
1.285714268684387207e+00 1.349999941885471344e-02
1.090476155281066895e+00 1.145000010728836060e-02
7.809524536132812500e-01 8.200000040233135223e-03
5.142857432365417480e-01 5.399999674409627914e-03
2.904762029647827148e-01 3.049999941140413284e-03
2.761904895305633545e-01 2.849999815225601196e-03
2.571428716182708740e-01 2.649999922141432762e-03
2.047619223594665527e-01 2.099999925121665001e-03
1.714285761117935181e-01 1.749999937601387501e-03
1.285714358091354370e-01 1.300000003539025784e-03
