# FGSM attack with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon in batches of 42 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
1.038095235824584961e+00 1.069999951869249344e-02
8.476190567016601562e-01 8.799999952316284180e-03
8.857142329216003418e-01 9.250000119209289551e-03
9.476191401481628418e-01 9.899999946355819702e-03
1.042857289314270020e+00 1.090000011026859283e-02
1.076190471649169922e+00 1.129999943077564240e-02
8.904762268066406250e-01 9.250000119209289551e-03
1.090476274490356445e+00 1.129999943077564240e-02
1.123809576034545898e+00 1.174999959766864777e-02
1.019047617912292480e+00 1.069999951869249344e-02
1.085714221000671387e+00 1.129999943077564240e-02
1.185714244842529297e+00 1.229999959468841553e-02
1.200000047683715820e+00 1.260000001639127731e-02
9.904761910438537598e-01 1.019999943673610687e-02
1.052381038665771484e+00 1.090000011026859283e-02
8.571428656578063965e-01 8.849999867379665375e-03
8.190476894378662109e-01 8.499999530613422394e-03
9.095238447189331055e-01 9.549999609589576721e-03
8.714286684989929199e-01 9.149999357759952545e-03
1.090476155281066895e+00 1.124999951571226120e-02
1.276190519332885742e+00 1.334999967366456985e-02
9.380952715873718262e-01 9.850000031292438507e-03
7.380952239036560059e-01 7.749999873340129852e-03
1.057142853736877441e+00 1.104999985545873642e-02
9.285714626312255859e-01 9.399999864399433136e-03
1.023809552192687988e+00 1.069999951869249344e-02
1.228571534156799316e+00 1.284999959170818329e-02
1.014285802841186523e+00 1.064999960362911224e-02
1.061904788017272949e+00 1.104999985545873642e-02
9.714286327362060547e-01 1.014999952167272568e-02
8.904762268066406250e-01 9.349999949336051941e-03
1.061904788017272949e+00 1.109999977052211761e-02
1.090476274490356445e+00 1.145000010728836060e-02
9.238095879554748535e-01 9.699999354779720306e-03
9.142857789993286133e-01 9.599999524652957916e-03
1.052381038665771484e+00 1.104999985545873642e-02
1.047619104385375977e+00 1.095000002533197403e-02
8.809524774551391602e-01 9.250000119209289551e-03
9.666667580604553223e-01 9.999999776482582092e-03
9.428571462631225586e-01 9.750000201165676117e-03
1.038095235824584961e+00 1.090000011026859283e-02
1.014285802841186523e+00 1.064999960362911224e-02
8.619047999382019043e-01 9.049999527633190155e-03
7.190477252006530762e-01 7.549999747425317764e-03
9.047619104385375977e-01 9.499999694526195526e-03
1.161904811859130859e+00 1.194999925792217255e-02
1.071428537368774414e+00 1.119999960064888000e-02
1.038095235824584961e+00 1.064999960362911224e-02
1.138095378875732422e+00 1.159999985247850418e-02
8.857142925262451172e-01 9.250000119209289551e-03
