# FGSM attack NewNet model with FX model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy  FX_Vali_adv_coverage
# FX_Model_dataset & FX_validation set: 0.39065
0.000000000000000000e+00 9.895238094031810760e-01 3.888999819755554199e-01
5.263157894736841813e-02 9.890476185828447342e-01 3.986999988555908203e-01
1.052631578947368363e-01 9.876190479844808578e-01 4.007999897003173828e-01
1.578947368421052544e-01 9.871428571641445160e-01 3.896499872207641602e-01
2.105263157894736725e-01 9.857142856344580650e-01 3.639499843120574951e-01
2.631578947368420907e-01 9.833333324640989304e-01 3.241499960422515869e-01
3.157894736842105088e-01 9.823809526860713959e-01 2.811000049114227295e-01
3.684210526315789269e-01 9.785714279860258102e-01 2.210499942302703857e-01
4.210526315789473450e-01 9.757142849266529083e-01 1.729999929666519165e-01
4.736842105263157632e-01 9.628571420907974243e-01 1.438499987125396729e-01
5.263157894736841813e-01 9.328571408987045288e-01 1.168999969959259033e-01
5.789473684210526550e-01 8.842857107520103455e-01 9.279999881982803345e-02
6.315789473684210176e-01 7.828571498394012451e-01 7.449999451637268066e-02
6.842105263157893802e-01 6.809523701667785645e-01 6.030000001192092896e-02
7.368421052631578538e-01 5.699999928474426270e-01 4.910000041127204895e-02
7.894736842105263275e-01 4.700000286102294922e-01 4.019999876618385315e-02
8.421052631578946901e-01 4.004762172698974609e-01 3.249999880790710449e-02
8.947368421052630527e-01 3.319047689437866211e-01 2.584999985992908478e-02
9.473684210526315264e-01 2.871428728103637695e-01 2.125000022351741791e-02
1.000000000000000000e+00 2.461904883384704590e-01 1.620000042021274567e-02
