# FGSM attack NewNet model with FX model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy FX_Vali_adv_density
# FX_Model_dataset & FX_validation set: 0.9809524
0.000000000000000000e+00 9.895238094031810760e-01 9.778096079826354980e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.041047573089599609e+00
1.052631578947368363e-01 9.876190479844808578e-01 1.095523834228515625e+00
1.578947368421052544e-01 9.871428571641445160e-01 1.155238032341003418e+00
2.105263157894736725e-01 9.857142856344580650e-01 1.214761853218078613e+00
2.631578947368420907e-01 9.833333324640989304e-01 1.236190438270568848e+00
3.157894736842105088e-01 9.823809526860713959e-01 1.287999987602233887e+00
3.684210526315789269e-01 9.785714279860258102e-01 1.286571383476257324e+00
4.210526315789473450e-01 9.757142849266529083e-01 1.267904758453369141e+00
4.736842105263157632e-01 9.628571420907974243e-01 1.252571463584899902e+00
5.263157894736841813e-01 9.328571408987045288e-01 1.236666679382324219e+00
5.789473684210526550e-01 8.842857107520103455e-01 1.214285731315612793e+00
6.315789473684210176e-01 7.828571498394012451e-01 1.158857226371765137e+00
6.842105263157893802e-01 6.809523701667785645e-01 1.136285662651062012e+00
7.368421052631578538e-01 5.699999928474426270e-01 1.109333395957946777e+00
7.894736842105263275e-01 4.700000286102294922e-01 1.039904832839965820e+00
8.421052631578946901e-01 4.004762172698974609e-01 9.917142987251281738e-01
8.947368421052630527e-01 3.319047689437866211e-01 9.334285259246826172e-01
9.473684210526315264e-01 2.871428728103637695e-01 8.807619214057922363e-01
1.000000000000000000e+00 2.461904883384704590e-01 8.070476055145263672e-01
