# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 50% mix of adv vali samples not random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972380399703979492e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.094571471214294434e+00 4.188999831676483154e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.150476217269897461e+00 4.314000010490417480e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.154095292091369629e+00 4.275999963283538818e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.109238028526306152e+00 4.120499789714813232e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.024381041526794434e+00 3.848499953746795654e-01
3.157894736842105088e-01 9.823809526860713959e-01 9.035238623619079590e-01 3.463499844074249268e-01
3.684210526315789269e-01 9.785714279860258102e-01 7.789524197578430176e-01 3.078999817371368408e-01
4.210526315789473450e-01 9.757142849266529083e-01 6.747618913650512695e-01 2.769500017166137695e-01
4.736842105263157632e-01 9.628571420907974243e-01 6.577143073081970215e-01 2.696499824523925781e-01
5.263157894736841813e-01 9.328571408987045288e-01 6.418095231056213379e-01 2.631999850273132324e-01
5.789473684210526550e-01 8.842857107520103455e-01 6.230476498603820801e-01 2.563000023365020752e-01
6.315789473684210176e-01 7.828571498394012451e-01 6.052380800247192383e-01 2.505500018596649170e-01
6.842105263157893802e-01 6.809523701667785645e-01 5.882858037948608398e-01 2.446999996900558472e-01
7.368421052631578538e-01 5.699999928474426270e-01 5.739048123359680176e-01 2.401999980211257935e-01
7.894736842105263275e-01 4.700000286102294922e-01 5.587619543075561523e-01 2.359499931335449219e-01
8.421052631578946901e-01 4.004762172698974609e-01 5.449524521827697754e-01 2.320999950170516968e-01
8.947368421052630527e-01 3.319047689437866211e-01 5.342857241630554199e-01 2.293500006198883057e-01
9.473684210526315264e-01 2.871428728103637695e-01 5.259047746658325195e-01 2.271499931812286377e-01
1.000000000000000000e+00 2.461904883384704590e-01 5.191428661346435547e-01 2.258999943733215332e-01
