# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 75% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972381591796875000e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.145142912864685059e+00 4.309499859809875488e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.229714274406433105e+00 4.475999772548675537e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.237999916076660156e+00 4.394999742507934570e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.173809528350830078e+00 4.151999950408935547e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.043523788452148438e+00 3.750000000000000000e-01
3.157894736842105088e-01 9.823809526860713959e-01 8.603809475898742676e-01 3.179999887943267822e-01
3.684210526315789269e-01 9.785714279860258102e-01 6.754285693168640137e-01 2.606000006198883057e-01
4.210526315789473450e-01 9.757142849266529083e-01 5.090476274490356445e-01 2.074499875307083130e-01
4.736842105263157632e-01 9.628571420907974243e-01 4.794285893440246582e-01 1.944999992847442627e-01
5.263157894736841813e-01 9.328571408987045288e-01 4.564762115478515625e-01 1.843999922275543213e-01
5.789473684210526550e-01 8.842857107520103455e-01 4.274285435676574707e-01 1.718999892473220825e-01
6.315789473684210176e-01 7.828571498394012451e-01 4.014285802841186523e-01 1.621999889612197876e-01
6.842105263157893802e-01 6.809523701667785645e-01 3.736190199851989746e-01 1.517999917268753052e-01
7.368421052631578538e-01 5.699999928474426270e-01 3.468571603298187256e-01 1.421999931335449219e-01
7.894736842105263275e-01 4.700000286102294922e-01 3.247618973255157471e-01 1.353500038385391235e-01
8.421052631578946901e-01 4.004762172698974609e-01 3.057143092155456543e-01 1.297999918460845947e-01
8.947368421052630527e-01 3.319047689437866211e-01 2.899999916553497314e-01 1.254500001668930054e-01
9.473684210526315264e-01 2.871428728103637695e-01 2.767619192600250244e-01 1.219999939203262329e-01
1.000000000000000000e+00 2.461904883384704590e-01 2.662857174873352051e-01 1.199499964714050293e-01
