# FGSM attack overfit model with model_dataset(22000 images)
# and valiudation_images(2100) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.39159998
0.000000000000000000e+00 9.928571428172290325e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.914285717532038689e-01 4.437499940395355225e-01
1.052631578947368363e-01 9.904761901125311852e-01 4.644500017166137695e-01
1.578947368421052544e-01 9.890476185828447342e-01 4.501499831676483154e-01
2.105263157894736725e-01 9.885714286938309669e-01 4.180999994277954102e-01
2.631578947368420907e-01 9.871428571641445160e-01 3.638499975204467773e-01
3.157894736842105088e-01 9.847619049251079559e-01 2.904500067234039307e-01
3.684210526315789269e-01 9.838095232844352722e-01 2.064500004053115845e-01
4.210526315789473450e-01 9.795238096266984940e-01 1.341499984264373779e-01
4.736842105263157632e-01 9.685714282095432281e-01 1.340000033378601074e-01
5.263157894736841813e-01 9.542857147753238678e-01 1.373499929904937744e-01
5.789473684210526550e-01 9.400000013411045074e-01 1.397500038146972656e-01
6.315789473684210176e-01 9.238095209002494812e-01 1.403999924659729004e-01
6.842105263157893802e-01 9.147619083523750305e-01 1.422999948263168335e-01
7.368421052631578538e-01 9.090476185083389282e-01 1.425499916076660156e-01
7.894736842105263275e-01 9.038095250725746155e-01 1.415499895811080933e-01
8.421052631578946901e-01 9.028571397066116333e-01 1.404500007629394531e-01
8.947368421052630527e-01 9.014285728335380554e-01 1.372499912977218628e-01
9.473684210526315264e-01 8.995238095521926880e-01 1.335500031709671021e-01
1.000000000000000000e+00 8.990476205945014954e-01 1.302499920129776001e-01
