# FGSM attack overfit model with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.99723816
0.000000000000000000e+00 9.928571428172290325e-01 9.972381591796875000e-01
5.263157894736841813e-02 9.914285717532038689e-01 1.195333242416381836e+00
1.052631578947368363e-01 9.904761901125311852e-01 1.308380961418151855e+00
1.578947368421052544e-01 9.890476185828447342e-01 1.318571448326110840e+00
2.105263157894736725e-01 9.885714286938309669e-01 1.238285660743713379e+00
2.631578947368420907e-01 9.871428571641445160e-01 1.067428588867187500e+00
3.157894736842105088e-01 9.847619049251079559e-01 8.356190323829650879e-01
3.684210526315789269e-01 9.838095232844352722e-01 5.823809504508972168e-01
4.210526315789473450e-01 9.795238096266984940e-01 3.688571453094482422e-01
4.736842105263157632e-01 9.685714282095432281e-01 3.819999992847442627e-01
5.263157894736841813e-01 9.542857147753238678e-01 4.086667001247406006e-01
5.789473684210526550e-01 9.400000013411045074e-01 4.355238080024719238e-01
6.315789473684210176e-01 9.238095209002494812e-01 4.603809714317321777e-01
6.842105263157893802e-01 9.147619083523750305e-01 4.889523983001708984e-01
7.368421052631578538e-01 9.090476185083389282e-01 5.213332772254943848e-01
7.894736842105263275e-01 9.038095250725746155e-01 5.565714240074157715e-01
8.421052631578946901e-01 9.028571397066116333e-01 5.919047594070434570e-01
8.947368421052630527e-01 9.014285728335380554e-01 6.345714926719665527e-01
9.473684210526315264e-01 8.995238095521926880e-01 6.812381148338317871e-01
1.000000000000000000e+00 8.990476205945014954e-01 7.330476045608520508e-01
