# FGSM attack underfit model with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.39159998
0.000000000000000000e+00 7.890476137399673462e-01 3.915999829769134521e-01
5.263157894736841813e-02 7.823809534311294556e-01 4.433499872684478760e-01
1.052631578947368363e-01 7.747619003057479858e-01 4.632499814033508301e-01
1.578947368421052544e-01 7.666666656732559204e-01 4.496999979019165039e-01
2.105263157894736725e-01 7.600000053644180298e-01 4.138499796390533447e-01
2.631578947368420907e-01 7.514285743236541748e-01 3.581500053405761719e-01
3.157894736842105088e-01 7.404761910438537598e-01 2.824999988079071045e-01
3.684210526315789269e-01 7.257142961025238037e-01 2.019499987363815308e-01
4.210526315789473450e-01 7.066666781902313232e-01 1.288499981164932251e-01
4.736842105263157632e-01 6.280952394008636475e-01 9.794999659061431885e-02
5.263157894736841813e-01 5.180952250957489014e-01 7.249999791383743286e-02
5.789473684210526550e-01 4.214285612106323242e-01 5.104999989271163940e-02
6.315789473684210176e-01 3.357142806053161621e-01 3.329999744892120361e-02
6.842105263157893802e-01 2.547619342803955078e-01 2.084999904036521912e-02
7.368421052631578538e-01 1.823809742927551270e-01 1.200000010430812836e-02
7.894736842105263275e-01 1.295238137245178223e-01 6.249999627470970154e-03
8.421052631578946901e-01 9.190475940704345703e-02 3.150000004097819328e-03
8.947368421052630527e-01 6.333333253860473633e-02 1.599999959580600262e-03
9.473684210526315264e-01 4.761904478073120117e-02 5.999999702908098698e-04
1.000000000000000000e+00 3.047621250152587891e-02 3.499999875202775002e-04
