# FGSM attack with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
9.560000300407409668e-01 8.828635327517986298e-03
1.009999990463256836e+00 9.327324107289314270e-03
1.051999926567077637e+00 9.715192951261997223e-03
1.088000059127807617e+00 1.004765275865793228e-02
1.093999862670898438e+00 1.006612274795770645e-02
1.065999984741210938e+00 9.807542897760868073e-03
1.014000058174133301e+00 9.345794096589088440e-03
9.380000233650207520e-01 8.643936365842819214e-03
8.439999818801879883e-01 7.720438763499259949e-03
7.440000772476196289e-01 6.778471171855926514e-03
6.360000371932983398e-01 5.781094077974557877e-03
5.059999823570251465e-01 4.617487546056509018e-03
3.899999856948852539e-01 3.546230262145400047e-03
3.180000185966491699e-01 2.881312044337391853e-03
2.560000121593475342e-01 2.308743773028254509e-03
2.179999947547912598e-01 1.920874696224927902e-03
1.659999787807464600e-01 1.422186149284243584e-03
1.199999973177909851e-01 1.015847199596464634e-03
1.080000028014183044e-01 9.050274966284632683e-04
9.799999743700027466e-02 8.311477140523493290e-04
9.519999623298645020e-01 8.699346333742141724e-03
9.919999241828918457e-01 9.068745188415050507e-03
1.037999987602233887e+00 9.493554010987281799e-03
1.057999968528747559e+00 9.659783914685249329e-03
1.046000003814697266e+00 9.548963978886604309e-03
1.015999913215637207e+00 9.271914139389991760e-03
9.460000395774841309e-01 8.625466376543045044e-03
8.479999899864196777e-01 7.738908752799034119e-03
7.360000610351562500e-01 6.723061669617891312e-03
6.019999980926513672e-01 5.522514693439006805e-03
5.019999742507934570e-01 4.599017556756734848e-03
3.899999856948852539e-01 3.564700251445174217e-03
2.980000078678131104e-01 2.733552595600485802e-03
2.020000070333480835e-01 1.865464844740927219e-03
1.400000005960464478e-01 1.292896457016468048e-03
1.040000021457672119e-01 9.604373481124639511e-04
9.799998998641967773e-02 8.680876344442367554e-04
8.600000292062759399e-02 7.387979421764612198e-04
6.800000369548797607e-02 5.725684459321200848e-04
7.599999755620956421e-02 6.649181596003472805e-04
1.220000028610229492e+00 1.126666925847530365e-02
1.351999998092651367e+00 1.244874577969312668e-02
1.404000043869018555e+00 1.291049458086490631e-02
1.384000062942504883e+00 1.270732469856739044e-02
1.325999975204467773e+00 1.219016686081886292e-02
