# FGSM attack with model_dataset(54142 images)
# and validation_images(4707) 20 epsilon in batches of 100 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
9.560000300407409668e-01 8.828635327517986298e-03
9.519999623298645020e-01 8.699346333742141724e-03
1.220000028610229492e+00 1.126666925847530365e-02
9.839999675750732422e-01 9.013335220515727997e-03
9.360000491142272949e-01 8.514646440744400024e-03
9.919999241828918457e-01 9.124155156314373016e-03
9.599999785423278809e-01 8.865575306117534637e-03
9.639999866485595703e-01 8.865575306117534637e-03
1.180000066757202148e+00 1.087880041450262070e-02
9.619999527931213379e-01 8.884045295417308807e-03
1.067999958992004395e+00 9.789072908461093903e-03
9.419999718666076660e-01 8.662406355142593384e-03
1.018000006675720215e+00 9.308854117989540100e-03
1.014000058174133301e+00 9.364264085888862610e-03
9.440000057220458984e-01 8.680876344442367554e-03
9.179999828338623047e-01 8.403826504945755005e-03
9.399999976158142090e-01 8.588526397943496704e-03
1.037999987602233887e+00 9.438144043087959290e-03
1.129999995231628418e+00 1.043552160263061523e-02
1.037999987602233887e+00 9.548963978886604309e-03
9.799999594688415527e-01 9.050275199115276337e-03
1.055999994277954102e+00 9.696722961962223053e-03
1.027999997138977051e+00 9.493554010987281799e-03
1.039999961853027344e+00 9.548963978886604309e-03
9.839999675750732422e-01 9.087215177714824677e-03
1.047999978065490723e+00 9.659783914685249329e-03
1.088000059127807617e+00 9.955302812159061432e-03
9.880000352859497070e-01 9.124155156314373016e-03
1.015999913215637207e+00 9.345794096589088440e-03
1.142000079154968262e+00 1.041705161333084106e-02
9.939998984336853027e-01 9.013335220515727997e-03
9.679999947547912598e-01 8.828635327517986298e-03
1.055999994277954102e+00 9.641313925385475159e-03
9.880000352859497070e-01 9.124155156314373016e-03
9.199999570846557617e-01 8.459236472845077515e-03
1.019999980926513672e+00 9.382734075188636780e-03
9.859999418258666992e-01 9.050275199115276337e-03
1.005999922752380371e+00 9.290384128689765930e-03
1.026000022888183594e+00 9.456614032387733459e-03
1.030000090599060059e+00 9.512024000287055969e-03
9.699999690055847168e-01 8.957925252616405487e-03
9.940000772476196289e-01 9.124155156314373016e-03
1.046000003814697266e+00 9.659783914685249329e-03
1.185999989509582520e+00 1.091574039310216904e-02
1.029999971389770508e+00 9.512024000287055969e-03
9.880000352859497070e-01 9.087215177714824677e-03
1.041999936103820801e+00 9.548963978886604309e-03
