# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.34394738
0.000000000000000000e+00 4.046304225921630859e-01 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 3.598130941390991211e-01
1.052631578947368363e-01 3.576890230178833008e-01 3.680691421031951904e-01
1.578947368421052544e-01 3.279524445533752441e-01 3.675150573253631592e-01
2.105263157894736725e-01 2.943925261497497559e-01 3.592774569988250732e-01
2.631578947368420907e-01 2.678419947624206543e-01 3.430608510971069336e-01
3.157894736842105088e-01 2.398045659065246582e-01 3.198071718215942383e-01
3.684210526315789269e-01 2.206881642341613770e-01 2.920837700366973877e-01
4.210526315789473450e-01 2.060322761535644531e-01 2.578220367431640625e-01
4.736842105263157632e-01 1.898895502090454102e-01 2.207897752523422241e-01
5.263157894736841813e-01 1.788445115089416504e-01 1.819659471511840820e-01
5.789473684210526550e-01 1.724723577499389648e-01 1.451183855533599854e-01
6.315789473684210176e-01 1.684367060661315918e-01 1.139411181211471558e-01
6.842105263157893802e-01 1.654630303382873535e-01 9.081674367189407349e-02
7.368421052631578538e-01 1.616397500038146973e-01 7.299324125051498413e-02
7.894736842105263275e-01 1.607901453971862793e-01 5.993498489260673523e-02
8.421052631578946901e-01 1.603653430938720703e-01 5.169738829135894775e-02
8.947368421052630527e-01 1.605777144432067871e-01 4.580547288060188293e-02
9.473684210526315264e-01 1.618521809577941895e-01 4.148350656032562256e-02
1.000000000000000000e+00 1.597281098365783691e-01 3.889771178364753723e-02
