# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 1.0169499
0.000000000000000000e+00 4.046304225921630859e-01 1.016949892044067383e+00
5.263157894736841813e-02 3.802039027214050293e-01 1.090399265289306641e+00
1.052631578947368363e-01 3.576890230178833008e-01 1.145327091217041016e+00
1.578947368421052544e-01 3.279524445533752441e-01 1.170178413391113281e+00
2.105263157894736725e-01 2.943925261497497559e-01 1.168564081192016602e+00
2.631578947368420907e-01 2.678419947624206543e-01 1.129736661911010742e+00
3.157894736842105088e-01 2.398045659065246582e-01 1.064316034317016602e+00
3.684210526315789269e-01 2.206881642341613770e-01 9.786745905876159668e-01
4.210526315789473450e-01 2.060322761535644531e-01 8.703058362007141113e-01
4.736842105263157632e-01 1.898895502090454102e-01 7.484706640243530273e-01
5.263157894736841813e-01 1.788445115089416504e-01 6.258708834648132324e-01
5.789473684210526550e-01 1.724723577499389648e-01 5.118946433067321777e-01
6.315789473684210176e-01 1.684367060661315918e-01 4.175446033477783203e-01
6.842105263157893802e-01 1.654630303382873535e-01 3.486830890178680420e-01
7.368421052631578538e-01 1.616397500038146973e-01 2.971962392330169678e-01
7.894736842105263275e-01 1.607901453971862793e-01 2.634239494800567627e-01
8.421052631578946901e-01 1.603653430938720703e-01 2.436703294515609741e-01
8.947368421052630527e-01 1.605777144432067871e-01 2.289719581604003906e-01
9.473684210526315264e-01 1.618521809577941895e-01 2.234494388103485107e-01
1.000000000000000000e+00 1.597281098365783691e-01 2.222599834203720093e-01
