# FGSM attack NewNet model with FX model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# Epsilon Model_accuracy  FX_Vali_adv_coverage
# FX_Model_dataset & FX_validation set: 0.34097373
0.000000000000000000e+00 4.046304225921630859e-01 3.409737348556518555e-01
5.263157894736841813e-02 3.802039027214050293e-01 3.294669687747955322e-01
1.052631578947368363e-01 3.576890230178833008e-01 3.065272867679595947e-01
1.578947368421052544e-01 3.279524445533752441e-01 2.829965651035308838e-01
2.105263157894736725e-01 2.943925261497497559e-01 2.615714073181152344e-01
2.631578947368420907e-01 2.678419947624206543e-01 2.484577596187591553e-01
3.157894736842105088e-01 2.398045659065246582e-01 2.370987385511398315e-01
3.684210526315789269e-01 2.206881642341613770e-01 2.267001569271087646e-01
4.210526315789473450e-01 2.060322761535644531e-01 2.166155725717544556e-01
4.736842105263157632e-01 1.898895502090454102e-01 2.097262740135192871e-01
5.263157894736841813e-01 1.788445115089416504e-01 2.032433152198791504e-01
5.789473684210526550e-01 1.724723577499389648e-01 1.973329335451126099e-01
6.315789473684210176e-01 1.684367060661315918e-01 1.944516301155090332e-01
6.842105263157893802e-01 1.654630303382873535e-01 1.904251724481582642e-01
7.368421052631578538e-01 1.616397500038146973e-01 1.853274703025817871e-01
7.894736842105263275e-01 1.607901453971862793e-01 1.821506470441818237e-01
8.421052631578946901e-01 1.603653430938720703e-01 1.785120666027069092e-01
8.947368421052630527e-01 1.605777144432067871e-01 1.773299872875213623e-01
9.473684210526315264e-01 1.618521809577941895e-01 1.739869266748428345e-01
1.000000000000000000e+00 1.597281098365783691e-01 1.730818897485733032e-01
