# FGSM attack NewNet model with FX model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# Epsilon Model_accuracy FX_Vali_adv_density
# FX_Model_dataset & FX_validation set: 1.0026762
0.000000000000000000e+00 4.046304225921630859e-01 1.002676248550415039e+00
5.263157894736841813e-02 3.802039027214050293e-01 9.632965326309204102e-01
1.052631578947368363e-01 3.576890230178833008e-01 9.033559560775756836e-01
1.578947368421052544e-01 3.279524445533752441e-01 8.456244468688964844e-01
2.105263157894736725e-01 2.943925261497497559e-01 7.925233244895935059e-01
2.631578947368420907e-01 2.678419947624206543e-01 7.604078054428100586e-01
3.157894736842105088e-01 2.398045659065246582e-01 7.398895025253295898e-01
3.684210526315789269e-01 2.206881642341613770e-01 7.200509309768676758e-01
4.210526315789473450e-01 2.060322761535644531e-01 6.958368420600891113e-01
4.736842105263157632e-01 1.898895502090454102e-01 6.800764799118041992e-01
5.263157894736841813e-01 1.788445115089416504e-01 6.700509786605834961e-01
5.789473684210526550e-01 1.724723577499389648e-01 6.590909361839294434e-01
6.315789473684210176e-01 1.684367060661315918e-01 6.548427939414978027e-01
6.842105263157893802e-01 1.654630303382873535e-01 6.460492610931396484e-01
7.368421052631578538e-01 1.616397500038146973e-01 6.353015899658203125e-01
7.894736842105263275e-01 1.607901453971862793e-01 6.288444995880126953e-01
8.421052631578946901e-01 1.603653430938720703e-01 6.200084686279296875e-01
8.947368421052630527e-01 1.605777144432067871e-01 6.184791922569274902e-01
9.473684210526315264e-01 1.618521809577941895e-01 6.098130941390991211e-01
1.000000000000000000e+00 1.597281098365783691e-01 6.059048175811767578e-01
