# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 25% mix of adv vali samples random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.016949772834777832e+00 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.034706830978393555e+00 3.481216132640838623e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.048045873641967773e+00 3.509659767150878906e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.052846193313598633e+00 3.517786562442779541e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.050849676132202148e+00 3.503195345401763916e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.039464712142944336e+00 3.463300168514251709e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.022939682006835938e+00 3.410660922527313232e-01
3.684210526315789269e-01 2.206881642341613770e-01 1.000849604606628418e+00 3.342322111129760742e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.727697968482971191e-01 3.262531757354736328e-01
4.736842105263157632e-01 1.898895502090454102e-01 9.410365819931030273e-01 3.173691332340240479e-01
5.263157894736841813e-01 1.788445115089416504e-01 9.120219945907592773e-01 3.092423677444458008e-01
5.789473684210526550e-01 1.724723577499389648e-01 8.832200765609741211e-01 3.008754849433898926e-01
6.315789473684210176e-01 1.684367060661315918e-01 8.578164577484130859e-01 2.940416038036346436e-01
6.842105263157893802e-01 1.654630303382873535e-01 8.412064313888549805e-01 2.904214859008789062e-01
7.368421052631578538e-01 1.616397500038146973e-01 8.290993571281433105e-01 2.879649698734283447e-01
7.894736842105263275e-01 1.607901453971862793e-01 8.201784491539001465e-01 2.861179709434509277e-01
8.421052631578946901e-01 1.603653430938720703e-01 8.162276744842529297e-01 2.855454087257385254e-01
8.947368421052630527e-01 1.605777144432067871e-01 8.130415678024291992e-01 2.845665216445922852e-01
9.473684210526315264e-01 1.618521809577941895e-01 8.129991292953491211e-01 2.846034467220306396e-01
1.000000000000000000e+00 1.597281098365783691e-01 8.152506351470947266e-01 2.850282490253448486e-01
