# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 25% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.016949772834777832e+00 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.033220052719116211e+00 3.476783335208892822e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.044732332229614258e+00 3.499870598316192627e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.051401972770690918e+00 3.507628142833709717e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.052463889122009277e+00 3.500424921512603760e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.044349908828735352e+00 3.470134139060974121e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.027909874916076660e+00 3.416201770305633545e-01
3.684210526315789269e-01 2.206881642341613770e-01 1.005692362785339355e+00 3.346385359764099121e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.786320924758911133e-01 3.269550502300262451e-01
4.736842105263157632e-01 1.898895502090454102e-01 9.487255811691284180e-01 3.186620473861694336e-01
5.263157894736841813e-01 1.788445115089416504e-01 9.161427617073059082e-01 3.093901276588439941e-01
5.789473684210526550e-01 1.724723577499389648e-01 8.880628347396850586e-01 3.013741672039031982e-01
6.315789473684210176e-01 1.684367060661315918e-01 8.640611767768859863e-01 2.953344881534576416e-01
6.842105263157893802e-01 1.654630303382873535e-01 8.470263481140136719e-01 2.909940481185913086e-01
7.368421052631578538e-01 1.616397500038146973e-01 8.350467085838317871e-01 2.881312072277069092e-01
7.894736842105263275e-01 1.607901453971862793e-01 8.269752860069274902e-01 2.862103283405303955e-01
8.421052631578946901e-01 1.603653430938720703e-01 8.244689702987670898e-01 2.854900062084197998e-01
8.947368421052630527e-01 1.605777144432067871e-01 8.235344290733337402e-01 2.851206064224243164e-01
9.473684210526315264e-01 1.618521809577941895e-01 8.244689702987670898e-01 2.851206064224243164e-01
1.000000000000000000e+00 1.597281098365783691e-01 8.278674483299255371e-01 2.856562435626983643e-01
