# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 50% mix of adv vali samples random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.008283734321594238e+00 2.715267241001129150e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.046006798744201660e+00 2.818514406681060791e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.074681520462036133e+00 2.884821295738220215e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.088827490806579590e+00 2.909940481185913086e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.089167356491088867e+00 2.897565662860870361e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.070220828056335449e+00 2.851390838623046875e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.039846897125244141e+00 2.795426845550537109e-01
3.684210526315789269e-01 2.206881642341613770e-01 9.957942962646484375e-01 2.715636789798736572e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.425234198570251465e-01 2.621070444583892822e-01
4.736842105263157632e-01 1.898895502090454102e-01 8.793542385101318359e-01 2.519116401672363281e-01
5.263157894736841813e-01 1.788445115089416504e-01 8.182242512702941895e-01 2.417716383934020996e-01
5.789473684210526550e-01 1.724723577499389648e-01 7.618946433067321777e-01 2.328506559133529663e-01
6.315789473684210176e-01 1.684367060661315918e-01 7.150381803512573242e-01 2.253703176975250244e-01
6.842105263157893802e-01 1.654630303382873535e-01 6.789719462394714355e-01 2.203649580478668213e-01
7.368421052631578538e-01 1.616397500038146973e-01 6.505522131919860840e-01 2.165970951318740845e-01
7.894736842105263275e-01 1.607901453971862793e-01 6.322005391120910645e-01 2.134571969509124756e-01
8.421052631578946901e-01 1.603653430938720703e-01 6.183517575263977051e-01 2.113331556320190430e-01
8.947368421052630527e-01 1.605777144432067871e-01 6.079014539718627930e-01 2.094307541847229004e-01
9.473684210526315264e-01 1.618521809577941895e-01 6.035683751106262207e-01 2.088027745485305786e-01
1.000000000000000000e+00 1.597281098365783691e-01 5.998725891113281250e-01 2.081932723522186279e-01
