# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
7.039999961853027344e-01 1.152322627604007721e-02
5.600000619888305664e-01 9.166203439235687256e-03
5.100000500679016113e-01 8.315055631101131439e-03
6.279999613761901855e-01 1.027924194931983948e-02
4.779999852180480957e-01 7.693063467741012573e-03
3.359999656677246094e-01 5.499721970409154892e-03
2.540000081062316895e-01 4.124791361391544342e-03
7.740000486373901367e-01 1.263626571744680405e-02
6.280000209808349609e-01 1.024650596082210541e-02
9.240000844001770020e-01 1.446950621902942657e-02
1.709999918937683105e+00 2.798965573310852051e-02
5.320000052452087402e-01 8.609683252871036530e-03
2.440000027418136597e-01 3.993845544755458832e-03
4.259999990463256836e-01 6.940125022083520889e-03
3.019999861717224121e-01 4.943202249705791473e-03
3.740000128746032715e-01 6.088977679610252380e-03
9.799999594688415527e-01 1.564801856875419617e-02
1.043999910354614258e+00 1.685926690697669983e-02
1.006000041961669922e+00 1.617180183529853821e-02
1.083999872207641602e+00 1.764494180679321289e-02
5.259999632835388184e-01 8.478737436234951019e-03
6.959999799728393555e-01 1.135954447090625763e-02
7.099999785423278809e-01 1.155596319586038589e-02
6.699999570846557617e-01 1.096670702099800110e-02
7.160000205039978027e-01 1.171964500099420547e-02
2.585999965667724609e+00 4.213179647922515869e-02
3.379999995231628418e-01 5.532458424568176270e-03
8.360000252723693848e-01 1.171964500099420547e-02
2.137999773025512695e+00 3.260549530386924744e-02
4.819999933242797852e-01 7.856745272874832153e-03
9.380000233650207520e-01 1.522244419902563095e-02
4.780000150203704834e-01 7.824009284377098083e-03
5.640000104904174805e-01 9.166203439235687256e-03
1.271999835968017578e+00 2.082037553191184998e-02
9.159999489784240723e-01 1.469866093248128891e-02
1.786000013351440430e+00 2.910269424319267273e-02
3.480000197887420654e-01 5.630667787045240402e-03
1.719999909400939941e+00 2.815333753824234009e-02
1.064000010490417480e+00 1.731757633388042450e-02
5.720000267028808594e-01 9.362622164189815521e-03
7.540000081062316895e-01 1.227616518735885620e-02
9.499999880790710449e-01 1.551707275211811066e-02
6.220000386238098145e-01 1.014829613268375397e-02
1.756000161170959473e+00 2.861164882779121399e-02
7.700000405311584473e-01 1.250531990081071854e-02
1.031999945640563965e+00 1.663011126220226288e-02
5.659999847412109375e-01 9.231676347553730011e-03
8.419999480247497559e-01 1.371656823903322220e-02
5.320000052452087402e-01 8.675156161189079285e-03
6.380000710487365723e-01 1.041018776595592499e-02
1.787999868392944336e+00 2.877533063292503357e-02
1.392000079154968262e+00 2.265361696481704712e-02
4.280000329017639160e-01 6.776443216949701309e-03
