# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
7.039999961853027344e-01 1.152322627604007721e-02
7.680000066757202148e-01 1.204700954258441925e-02
1.169999957084655762e+00 1.679379306733608246e-02
1.539999961853027344e+00 2.173699624836444855e-02
1.914000034332275391e+00 2.635283395648002625e-02
2.312000036239624023e+00 2.949553169310092926e-02
2.835999965667724609e+00 3.306380286812782288e-02
3.539999961853027344e+00 3.754869475960731506e-02
4.279999732971191406e+00 4.065865650773048401e-02
5.125999450683593750e+00 4.589648917317390442e-02
5.907999038696289062e+00 5.241103842854499817e-02
6.727999687194824219e+00 5.859822779893875122e-02
7.211999416351318359e+00 6.305038183927536011e-02
7.657999515533447266e+00 6.514551490545272827e-02
8.050000190734863281e+00 6.544014066457748413e-02
8.553999900817871094e+00 6.789537519216537476e-02
9.199999809265136719e+00 6.976135075092315674e-02
1.009799861907958984e+01 7.486823946237564087e-02
1.033600044250488281e+01 7.696337252855300903e-02
1.004199886322021484e+01 7.480276376008987427e-02
5.600000619888305664e-01 9.166203439235687256e-03
8.080000281333923340e-01 1.316004898399114609e-02
1.029999971389770508e+00 1.679379306733608246e-02
1.296000003814697266e+00 2.108226716518402100e-02
1.327999949455261230e+00 2.144236862659454346e-02
1.437999963760375977e+00 2.304645255208015442e-02
1.745999813079833984e+00 2.789144590497016907e-02
1.929999947547912598e+00 3.090319968760013580e-02
1.983999848365783691e+00 3.139424696564674377e-02
1.935999751091003418e+00 3.044488839805126190e-02
2.017999649047851562e+00 3.015026077628135681e-02
1.791999816894531250e+00 2.759681828320026398e-02
1.569999933242797852e+00 2.527253143489360809e-02
1.367999792098999023e+00 2.229351550340652466e-02
9.699999690055847168e-01 1.587717235088348389e-02
6.100000143051147461e-01 9.984614327549934387e-03
3.879999816417694092e-01 6.350869312882423401e-03
2.919999957084655762e-01 4.779519978910684586e-03
2.760000228881835938e-01 4.517628811299800873e-03
2.800000011920928955e-01 4.583101719617843628e-03
5.100000500679016113e-01 8.315055631101131439e-03
4.619999825954437256e-01 7.431171834468841553e-03
6.420000195503234863e-01 1.037745177745819092e-02
8.020000457763671875e-01 1.299636624753475189e-02
1.055999994277954102e+00 1.715389452874660492e-02
1.363999962806701660e+00 2.216256968677043915e-02
1.666000008583068848e+00 2.710577286779880524e-02
2.013999938964843750e+00 3.276917710900306702e-02
2.367999553680419922e+00 3.856352716684341431e-02
2.838000059127807617e+00 4.632206261157989502e-02
3.259999513626098633e+00 5.326218903064727783e-02
3.619999885559082031e+00 5.905653536319732666e-02
3.595999956130981445e+00 5.882738158106803894e-02
3.640000104904174805e+00 5.958031862974166870e-02
3.478000164031982422e+00 5.689593032002449036e-02
3.193999767303466797e+00 5.224735662341117859e-02
3.171999692916870117e+00 5.188725516200065613e-02
3.351999998092651367e+00 5.486627295613288879e-02
3.324000120162963867e+00 5.440796166658401489e-02
3.104000091552734375e+00 5.077421665191650391e-02
6.279999613761901855e-01 1.027924194931983948e-02
9.500000476837158203e-01 1.554980874061584473e-02
