# FGSM attack with model_dataset(101821 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
5.699999928474426270e-01 2.799029694870114326e-03
4.340000152587890625e-01 2.121369820088148117e-03
3.039999902248382568e-01 1.492815790697932243e-03
5.600000619888305664e-01 2.740102820098400116e-03
3.980000317096710205e-01 1.954410225152969360e-03
3.840000033378601074e-01 1.885662088170647621e-03
2.299999892711639404e-01 1.129433047026395798e-03
7.099999785423278809e-01 3.476689569652080536e-03
5.740000009536743164e-01 2.808850724250078201e-03
5.380000472068786621e-01 2.632070099934935570e-03
1.683999419212341309e+00 8.259592577815055847e-03
4.380000233650207520e-01 2.150833373889327049e-03
2.580000162124633789e-01 1.266929204575717449e-03
4.340000450611114502e-01 2.131191082298755646e-03
2.880000174045562744e-01 1.414246624335646629e-03
2.960000038146972656e-01 1.443710061721503735e-03
1.063999891281127930e+00 5.185570567846298218e-03
9.659997820854187012e-01 4.723976366221904755e-03
5.979999899864196777e-01 2.936525968834757805e-03
8.740000724792480469e-01 4.291845485568046570e-03
6.200000047683715820e-01 3.044558688998222351e-03
4.540000557899475098e-01 2.229402540251612663e-03
4.760000109672546387e-01 2.337435260415077209e-03
5.760000348091125488e-01 2.828493248671293259e-03
5.659999847412109375e-01 2.779387403279542923e-03
3.425999641418457031e+00 1.681382022798061371e-02
3.440000116825103760e-01 1.689238939434289932e-03
8.599998950958251953e-01 3.869535634294152260e-03
1.847999572753906250e+00 8.888146840035915375e-03
3.760000467300415039e-01 1.846377504989504814e-03
8.439999222755432129e-01 4.105243366211652756e-03
4.660000503063201904e-01 2.288329415023326874e-03
6.039999723434448242e-01 2.965989289805293083e-03
4.499999880790710449e-01 2.209760248661041260e-03
1.015999913215637207e+00 4.969505127519369125e-03
1.819999933242797852e+00 8.927431888878345490e-03
2.399999946355819702e-01 1.178538776002824306e-03
1.933999538421630859e+00 9.487237781286239624e-03
1.307999849319458008e+00 6.413215305656194687e-03
4.159999787807464600e-01 2.042800653725862503e-03
6.720000505447387695e-01 3.299908712506294250e-03
9.920001029968261719e-01 4.871293902397155762e-03
6.700000762939453125e-01 3.290087450295686722e-03
1.421999812126159668e+00 6.943557877093553543e-03
5.640000104904174805e-01 2.749923849478363991e-03
1.481999754905700684e+00 7.208729162812232971e-03
4.819999933242797852e-01 2.357077552005648613e-03
1.221999764442443848e+00 6.000726949423551559e-03
4.479999840259552002e-01 2.199938986450433731e-03
6.380000114440917969e-01 3.123127855360507965e-03
1.599999666213989258e+00 7.827461697161197662e-03
1.474000096321105957e+00 7.198907900601625443e-03
3.680000305175781250e-01 1.797271659597754478e-03
