# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.238000035285949707e+00 2.013291046023368835e-02
1.256000041961669922e+00 2.000196464359760284e-02
1.437999963760375977e+00 2.278456278145313263e-02
1.549999952316284180e+00 2.429043874144554138e-02
1.708000183105468750e+00 2.609094232320785522e-02
1.762000083923339844e+00 2.628736011683940887e-02
1.835999965667724609e+00 2.798965573310852051e-02
1.687999844551086426e+00 2.723671868443489075e-02
3.067999839782714844e+00 3.993845731019973755e-02
4.361999511718750000e+00 4.229547828435897827e-02
5.222000122070312500e+00 4.501260444521903992e-02
6.019999980926513672e+00 4.939928650856018066e-02
7.154000282287597656e+00 5.722329765558242798e-02
8.835999488830566406e+00 7.015419006347656250e-02
1.036199951171875000e+01 8.089174330234527588e-02
1.294199943542480469e+01 9.932235628366470337e-02
1.500800037384033203e+01 1.107473745942115784e-01
1.713799858093261719e+01 1.183094903826713562e-01
1.872599792480468750e+01 1.255442500114440918e-01
1.952999877929687500e+01 1.303892433643341064e-01
9.219999313354492188e-01 1.509149838238954544e-02
7.660000324249267578e-01 1.253805682063102722e-02
5.199999809265136719e-01 8.511474356055259705e-03
4.720000028610229492e-01 7.627590559422969818e-03
5.719999670982360840e-01 9.198939427733421326e-03
6.620000600814819336e-01 1.070481538772583008e-02
7.520000338554382324e-01 1.214521937072277069e-02
8.580000996589660645e-01 1.388025004416704178e-02
9.119999408721923828e-01 1.469866093248128891e-02
1.088000059127807617e+00 1.735031232237815857e-02
1.283999919891357422e+00 2.036206610500812531e-02
1.341999888420104980e+00 2.114773914217948914e-02
1.466000080108642578e+00 2.314466238021850586e-02
1.489999771118164062e+00 2.383212745189666748e-02
1.367999792098999023e+00 2.203162387013435364e-02
1.145999908447265625e+00 1.862703450024127960e-02
1.096000075340270996e+00 1.771041378378868103e-02
2.003999948501586914e+00 2.425770089030265808e-02
2.527999401092529297e+00 2.690935321152210236e-02
2.964000225067138672e+00 3.021573461592197418e-02
3.819999992847442627e-01 6.252659950405359268e-03
4.299999773502349854e-01 6.972861476242542267e-03
5.180000066757202148e-01 8.413264527916908264e-03
6.200000047683715820e-01 1.008282322436571121e-02
8.000000715255737305e-01 1.299636624753475189e-02
9.039999246597290039e-01 1.469866093248128891e-02
9.939998984336853027e-01 1.613906398415565491e-02
1.148000001907348633e+00 1.865977048873901367e-02
1.905999898910522461e+00 3.100140765309333801e-02
2.387999773025512695e+00 3.895636275410652161e-02
2.728000164031982422e+00 4.439061135053634644e-02
3.075999975204467773e+00 4.995580762624740601e-02
3.635999917984008789e+00 5.886011943221092224e-02
4.113999843597412109e+00 6.684780865907669067e-02
4.400000095367431641e+00 7.175827771425247192e-02
4.757999420166015625e+00 7.781451940536499023e-02
5.543999671936035156e+00 8.956690132617950439e-02
6.591999530792236328e+00 9.473925828933715820e-02
7.761999130249023438e+00 9.451010078191757202e-02
8.623999595642089844e+00 9.585229307413101196e-02
7.599999904632568359e-01 1.243984699249267578e-02
1.829999685287475586e+00 2.992110513150691986e-02
2.272000074386596680e+00 3.715585917234420776e-02
2.486000061035156250e+00 4.059318453073501587e-02
2.662000179290771484e+00 4.337578266859054565e-02
3.058000087738037109e+00 4.989033564925193787e-02
3.611999750137329102e+00 5.886011943221092224e-02
4.064000129699707031e+00 6.625855714082717896e-02
4.622000217437744141e+00 7.545749098062515259e-02
5.007999897003173828e+00 8.177562803030014038e-02
5.157999992370605469e+00 8.416538685560226440e-02
5.373999595642089844e+00 8.763545006513595581e-02
5.429999828338623047e+00 8.848659694194793701e-02
5.201999187469482422e+00 8.491832762956619263e-02
4.487999439239501953e+00 7.346057146787643433e-02
4.190000057220458984e+00 6.845189630985260010e-02
4.861999988555908203e+00 7.696337252855300903e-02
5.529999732971191406e+00 8.118636906147003174e-02
5.553999423980712891e+00 7.663600146770477295e-02
5.627999782562255859e+00 7.215110957622528076e-02
4.860000014305114746e-01 7.856745272874832153e-03
5.860000252723693848e-01 9.166203439235687256e-03
6.400000452995300293e-01 9.755458682775497437e-03
7.760000228881835938e-01 1.158869918435811996e-02
8.980000019073486328e-01 1.319278497248888016e-02
9.940000176429748535e-01 1.401119586080312729e-02
1.111999988555908203e+00 1.554980874061584473e-02
1.315999984741210938e+00 1.915081776678562164e-02
2.895999908447265625e+00 3.398042544722557068e-02
3.671999692916870117e+00 4.121517762541770935e-02
4.579999446868896484e+00 4.419419169425964355e-02
5.496000289916992188e+00 4.953023418784141541e-02
6.806000232696533203e+00 6.003862991929054260e-02
8.289999961853027344e+00 7.238026708364486694e-02
9.932000160217285156e+00 8.393622934818267822e-02
1.150400161743164062e+01 9.352800995111465454e-02
1.275399875640869141e+01 1.032179966568946838e-01
1.336400032043457031e+01 1.114675775170326233e-01
1.367000007629394531e+01 1.170655116438865662e-01
1.434600067138671875e+01 1.315022706985473633e-01
6.160000562667846680e-01 1.005008723586797714e-02
1.070000052452087402e+00 1.505876239389181137e-02
1.728000164031982422e+00 2.160605043172836304e-02
1.764000058174133301e+00 2.396307326853275299e-02
2.280000209808349609e+00 3.064130805432796478e-02
2.299999952316284180e+00 2.969195134937763214e-02
2.323999881744384766e+00 2.815333753824234009e-02
1.822000026702880859e+00 2.357023581862449646e-02
2.535999774932861328e+00 3.604282066226005554e-02
2.859999895095825195e+00 4.147706925868988037e-02
3.335999965667724609e+00 4.700952768325805664e-02
4.681999683380126953e+00 5.758339911699295044e-02
6.423999309539794922e+00 6.923756748437881470e-02
7.773999691009521484e+00 7.879661023616790771e-02
9.024000167846679688e+00 8.779913187026977539e-02
1.204399871826171875e+01 9.781648218631744385e-02
1.378799915313720703e+01 1.063606888055801392e-01
1.525999927520751953e+01 1.136936545372009277e-01
1.669599914550781250e+01 1.206010431051254272e-01
1.806000137329101562e+01 1.300946176052093506e-01
4.339999556541442871e-01 7.005597930401563644e-03
6.119999885559082031e-01 9.951877407729625702e-03
9.660000205039978027e-01 1.564801856875419617e-02
8.879999518394470215e-01 1.433856040239334106e-02
1.074000120162963867e+00 1.721936650574207306e-02
1.118000030517578125e+00 1.790683157742023468e-02
1.339999914169311523e+00 2.131142280995845795e-02
1.231999993324279785e+00 2.003470063209533691e-02
1.689999818801879883e+00 2.723671868443489075e-02
2.389999866485595703e+00 3.807247802615165710e-02
2.736000061035156250e+00 4.353946447372436523e-02
3.250000000000000000e+00 5.070874467492103577e-02
4.099999427795410156e+00 5.951484665274620056e-02
4.940000057220458984e+00 6.907388567924499512e-02
5.548000335693359375e+00 7.725799828767776489e-02
7.069999694824218750e+00 9.087635576725006104e-02
9.041999816894531250e+00 9.991161525249481201e-02
1.079599952697753906e+01 1.079320386052131653e-01
1.159000110626220703e+01 1.106491684913635254e-01
1.246800041198730469e+01 1.178184449672698975e-01
5.239999890327453613e-01 8.544210344552993774e-03
6.280000209808349609e-01 9.886404499411582947e-03
9.380000829696655273e-01 1.479687076061964035e-02
1.212000012397766113e+00 1.911807991564273834e-02
