# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & validation dataset
# Model_vali_density Model_vali_coverage
1.238000035285949707e+00 2.013291046023368835e-02
9.219999313354492188e-01 1.509149838238954544e-02
3.819999992847442627e-01 6.252659950405359268e-03
7.599999904632568359e-01 1.243984699249267578e-02
4.860000014305114746e-01 7.856745272874832153e-03
6.160000562667846680e-01 1.005008723586797714e-02
4.339999556541442871e-01 7.005597930401563644e-03
5.239999890327453613e-01 8.544210344552993774e-03
7.560000419616699219e-01 1.234163809567689896e-02
8.400000333786010742e-01 1.319278497248888016e-02
1.843999862670898438e+00 2.988836914300918579e-02
6.280000209808349609e-01 1.024650596082210541e-02
3.040000200271606445e-01 4.975938703864812851e-03
5.299999713897705078e-01 8.642420172691345215e-03
2.760000228881835938e-01 4.517628811299800873e-03
6.600000858306884766e-01 1.077028829604387283e-02
8.440001010894775391e-01 1.309457607567310333e-02
7.419999241828918457e-01 1.188332773745059967e-02
1.036000013351440430e+00 1.623727381229400635e-02
4.460000097751617432e-01 7.300226017832756042e-03
1.523999929428100586e+00 2.438864670693874359e-02
2.700000107288360596e-01 4.419419448822736740e-03
2.080000042915344238e-01 3.371853381395339966e-03
1.157999992370605469e+00 1.895439811050891876e-02
7.360000610351562500e-01 1.194880064576864243e-02
1.361999988555908203e+00 2.229351550340652466e-02
6.900000572204589844e-01 1.129407156258821487e-02
1.157999992370605469e+00 1.420761458575725555e-02
2.793999671936035156e+00 4.494713246822357178e-02
1.740000009536743164e+00 2.834975719451904297e-02
1.705999851226806641e+00 2.769502811133861542e-02
1.039999842643737793e+00 1.702294871211051941e-02
9.820000529289245605e-01 1.600811816751956940e-02
1.167999982833862305e+00 1.885619014501571655e-02
1.327999830245971680e+00 2.154057659208774567e-02
1.602000117301940918e+00 2.599273249506950378e-02
9.739999175071716309e-01 1.587717235088348389e-02
2.686000108718872070e+00 4.396503791213035583e-02
8.960001468658447266e-01 1.460045203566551208e-02
6.900001168251037598e-01 1.122859865427017212e-02
8.260000348091125488e-01 1.348741352558135986e-02
6.180000305175781250e-01 1.005008723586797714e-02
6.119999289512634277e-01 1.001735031604766846e-02
1.383999943733215332e+00 2.252267114818096161e-02
1.468000173568725586e+00 2.334108203649520874e-02
3.167999744415283203e+00 5.064327269792556763e-02
4.859999716281890869e-01 7.922218181192874908e-03
1.177999854087829590e+00 1.918355375528335571e-02
4.120000004768371582e-01 6.743706762790679932e-03
7.879999876022338867e-01 1.283268444240093231e-02
1.116000056266784668e+00 1.810325123369693756e-02
2.379999876022338867e+00 3.866173699498176575e-02
2.859999835491180420e-01 4.648574627935886383e-03
