# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.56863195
0.000000000000000000e+00 1.586116552352905273e-01 5.686319470405578613e-01
5.263157894736841813e-02 1.390184760093688965e-01 5.183815360069274902e-01
1.052631578947368363e-01 1.278223395347595215e-01 4.444626271724700928e-01
1.578947368421052544e-01 1.160664558410644531e-01 3.948014676570892334e-01
2.105263157894736725e-01 1.074827313423156738e-01 3.659606575965881348e-01
2.631578947368420907e-01 1.011382937431335449e-01 3.488067686557769775e-01
3.157894736842105088e-01 1.003918647766113281e-01 3.453694283962249756e-01
3.684210526315789269e-01 1.056167483329772949e-01 3.484466671943664551e-01
4.210526315789473450e-01 1.108415722846984863e-01 3.450748026371002197e-01
4.736842105263157632e-01 1.175592541694641113e-01 3.513274788856506348e-01
5.263157894736841813e-01 1.224108934402465820e-01 3.549939393997192383e-01
5.789473684210526550e-01 1.285687685012817383e-01 3.591842055320739746e-01
6.315789473684210176e-01 1.317409873008728027e-01 3.656005561351776123e-01
6.842105263157893802e-01 1.339802145957946777e-01 3.723442554473876953e-01
7.368421052631578538e-01 1.371524333953857422e-01 3.750941157341003418e-01
7.894736842105263275e-01 1.388318538665771484e-01 3.794808089733123779e-01
8.421052631578946901e-01 1.418175101280212402e-01 3.907094001770019531e-01
8.947368421052630527e-01 1.446165442466735840e-01 3.878285884857177734e-01
9.473684210526315264e-01 1.451763510704040527e-01 3.839657008647918701e-01
1.000000000000000000e+00 1.453629136085510254e-01 3.856352567672729492e-01
