# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 1.0049638
0.000000000000000000e+00 1.586116552352905273e-01 1.004963755607604980e+00
5.263157894736841813e-02 1.390184760093688965e-01 1.149244189262390137e+00
1.052631578947368363e-01 1.278223395347595215e-01 1.243254303932189941e+00
1.578947368421052544e-01 1.160664558410644531e-01 1.317745804786682129e+00
2.105263157894736725e-01 1.074827313423156738e-01 1.455458164215087891e+00
2.631578947368420907e-01 1.011382937431335449e-01 1.558238506317138672e+00
3.157894736842105088e-01 1.003918647766113281e-01 1.721776366233825684e+00
3.684210526315789269e-01 1.056167483329772949e-01 1.847882151603698730e+00
4.210526315789473450e-01 1.108415722846984863e-01 2.497704744338989258e+00
4.736842105263157632e-01 1.175592541694641113e-01 3.141033887863159180e+00
5.263157894736841813e-01 1.224108934402465820e-01 3.737936496734619141e+00
5.789473684210526550e-01 1.285687685012817383e-01 4.524388790130615234e+00
6.315789473684210176e-01 1.317409873008728027e-01 5.481619358062744141e+00
6.842105263157893802e-01 1.339802145957946777e-01 6.666429996490478516e+00
7.368421052631578538e-01 1.371524333953857422e-01 7.793282508850097656e+00
7.894736842105263275e-01 1.388318538665771484e-01 9.150549888610839844e+00
8.421052631578946901e-01 1.418175101280212402e-01 1.039373016357421875e+01
8.947368421052630527e-01 1.446165442466735840e-01 1.145941352844238281e+01
9.473684210526315264e-01 1.451763510704040527e-01 1.215850067138671875e+01
1.000000000000000000e+00 1.453629136085510254e-01 1.290688514709472656e+01
