# FGSM attack NewNet model with FX model_dataset(30000 images)
# and validation_images(5329) 20 epsilon
# Epsilon Model_accuracy FX_Vali_adv_density
# FX_Model_dataset & FX_validation set: 1.0064937
0.000000000000000000e+00 1.602910757064819336e-01 1.006493687629699707e+00
5.263157894736841813e-02 7.967907190322875977e-02 9.806680083274841309e-01
1.052631578947368363e-01 6.456428766250610352e-02 9.726814627647399902e-01
1.578947368421052544e-01 5.933940410614013672e-02 9.668968915939331055e-01
2.105263157894736725e-01 5.672699213027954102e-02 9.707407951354980469e-01
2.631578947368420907e-01 5.616718530654907227e-02 9.742115736007690430e-01
3.157894736842105088e-01 5.710017681121826172e-02 9.727560877799987793e-01
3.684210526315789269e-01 5.654036998748779297e-02 9.766747355461120605e-01
4.210526315789473450e-01 5.542081594467163086e-02 9.744728803634643555e-01
4.736842105263157632e-01 5.579400062561035156e-02 9.740249514579772949e-01
5.263157894736841813e-01 5.915284156799316406e-02 9.730173349380493164e-01
5.789473684210526550e-01 6.157863140106201172e-02 9.666729569435119629e-01
6.315789473684210176e-01 6.307148933410644531e-02 9.755924940109252930e-01
6.842105263157893802e-01 6.587052345275878906e-02 9.717484712600708008e-01
7.368421052631578538e-01 7.016235589981079102e-02 9.692853689193725586e-01
7.894736842105263275e-01 7.034891843795776367e-02 9.692479968070983887e-01
8.421052631578946901e-01 7.165515422821044922e-02 9.648441672325134277e-01
8.947368421052630527e-01 7.072216272354125977e-02 9.599179029464721680e-01
9.473684210526315264e-01 7.333457469940185547e-02 9.573801755905151367e-01
1.000000000000000000e+00 7.781302928924560547e-02 9.573799967765808105e-01
