# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.4988706
0.000000000000000000e+00 1.013248562812805176e-01 4.988706111907958984e-01
5.263157894736841813e-02 1.005784869194030762e-01 5.474514961242675781e-01
1.052631578947368363e-01 9.796601533889770508e-02 5.212295651435852051e-01
1.578947368421052544e-01 9.591341018676757812e-02 4.699970781803131104e-01
2.105263157894736725e-01 9.665983915328979492e-02 4.114315807819366455e-01
2.631578947368420907e-01 9.721964597702026367e-02 3.609192371368408203e-01
3.157894736842105088e-01 9.740620851516723633e-02 3.310636281967163086e-01
3.684210526315789269e-01 9.777945280075073242e-02 3.089010417461395264e-01
4.210526315789473450e-01 9.927225112915039062e-02 2.919763028621673584e-01
4.736842105263157632e-01 9.964543581008911133e-02 2.799947559833526611e-01
5.263157894736841813e-01 1.000186800956726074e-01 2.620551884174346924e-01
5.789473684210526550e-01 1.002052426338195801e-01 2.468000203371047974e-01
6.315789473684210176e-01 1.003918647766113281e-01 2.381576001644134521e-01
6.842105263157893802e-01 1.007650494575500488e-01 2.306936830282211304e-01
7.368421052631578538e-01 1.005784869194030762e-01 2.256850153207778931e-01
7.894736842105263275e-01 1.005784869194030762e-01 2.217238992452621460e-01
8.421052631578946901e-01 1.007650494575500488e-01 2.172062695026397705e-01
8.947368421052630527e-01 1.009516716003417969e-01 2.163878679275512695e-01
9.473684210526315264e-01 1.009516716003417969e-01 2.180901616811752319e-01
1.000000000000000000e+00 1.009516716003417969e-01 2.155367136001586914e-01
