# FGSM attack NewNet model with model_dataset(101821 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy  Vali_adv_coverage
# Model_dataset & validation set: 0.1837342
0.000000000000000000e+00 1.013248562812805176e-01 1.837341934442520142e-01
5.263157894736841813e-02 1.005784869194030762e-01 2.277820855379104614e-01
1.052631578947368363e-01 9.796601533889770508e-02 2.327024936676025391e-01
1.578947368421052544e-01 9.591341018676757812e-02 2.083853036165237427e-01
2.105263157894736725e-01 9.665983915328979492e-02 1.736085861921310425e-01
2.631578947368420907e-01 9.721964597702026367e-02 1.529350578784942627e-01
3.157894736842105088e-01 9.740620851516723633e-02 1.401970088481903076e-01
3.684210526315789269e-01 9.777945280075073242e-02 1.308669149875640869e-01
4.210526315789473450e-01 9.927225112915039062e-02 1.263393610715866089e-01
4.736842105263157632e-01 9.964543581008911133e-02 1.234715804457664490e-01
5.263157894736841813e-01 1.000186800956726074e-01 1.247483342885971069e-01
5.789473684210526550e-01 1.002052426338195801e-01 1.259759813547134399e-01
6.315789473684210176e-01 1.003918647766113281e-01 1.223323270678520203e-01
6.842105263157893802e-01 1.007650494575500488e-01 1.175887063145637512e-01
7.368421052631578538e-01 1.005784869194030762e-01 1.179029867053031921e-01
7.894736842105263275e-01 1.005784869194030762e-01 1.167244464159011841e-01
8.421052631578946901e-01 1.007650494575500488e-01 1.152905598282814026e-01
8.947368421052630527e-01 1.009516716003417969e-01 1.176869198679924011e-01
9.473684210526315264e-01 1.009516716003417969e-01 1.166949868202209473e-01
1.000000000000000000e+00 1.009516716003417969e-01 1.143575459718704224e-01
