# FGSM attack NewNet model with model_dataset(101821 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.7933942
0.000000000000000000e+00 1.013248562812805176e-01 7.933942079544067383e-01
5.263157894736841813e-02 1.005784869194030762e-01 1.345960021018981934e+00
1.052631578947368363e-01 9.796601533889770508e-02 1.667325973510742188e+00
1.578947368421052544e-01 9.591341018676757812e-02 1.795222878456115723e+00
2.105263157894736725e-01 9.665983915328979492e-02 1.954805135726928711e+00
2.631578947368420907e-01 9.721964597702026367e-02 2.180854558944702148e+00
3.157894736842105088e-01 9.740620851516723633e-02 2.578615427017211914e+00
3.684210526315789269e-01 9.777945280075073242e-02 2.942787647247314453e+00
4.210526315789473450e-01 9.927225112915039062e-02 3.328382253646850586e+00
4.736842105263157632e-01 9.964543581008911133e-02 3.980107784271240234e+00
5.263157894736841813e-01 1.000186800956726074e-01 4.787571907043457031e+00
5.789473684210526550e-01 1.002052426338195801e-01 5.306139469146728516e+00
6.315789473684210176e-01 1.003918647766113281e-01 5.117558956146240234e+00
6.842105263157893802e-01 1.007650494575500488e-01 4.703899860382080078e+00
7.368421052631578538e-01 1.005784869194030762e-01 4.151408672332763672e+00
7.894736842105263275e-01 1.005784869194030762e-01 3.973203897476196289e+00
8.421052631578946901e-01 1.007650494575500488e-01 4.405000686645507812e+00
8.947368421052630527e-01 1.009516716003417969e-01 5.503564357757568359e+00
9.473684210526315264e-01 1.009516716003417969e-01 6.707632541656494141e+00
1.000000000000000000e+00 1.009516716003417969e-01 7.621831893920898438e+00
