# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.83190894
0.000000000000000000e+00 1.013248562812805176e-01 8.319089412689208984e-01
5.263157894736841813e-02 1.005784869194030762e-01 1.313789844512939453e+00
1.052631578947368363e-01 9.796601533889770508e-02 1.651576757431030273e+00
1.578947368421052544e-01 9.591341018676757812e-02 1.773390412330627441e+00
2.105263157894736725e-01 9.665983915328979492e-02 1.832356691360473633e+00
2.631578947368420907e-01 9.721964597702026367e-02 1.898488521575927734e+00
3.157894736842105088e-01 9.740620851516723633e-02 2.057100057601928711e+00
3.684210526315789269e-01 9.777945280075073242e-02 2.353834629058837891e+00
4.210526315789473450e-01 9.927225112915039062e-02 2.689195871353149414e+00
4.736842105263157632e-01 9.964543581008911133e-02 3.216421127319335938e+00
5.263157894736841813e-01 1.000186800956726074e-01 3.803843975067138672e+00
5.789473684210526550e-01 1.002052426338195801e-01 4.324537754058837891e+00
6.315789473684210176e-01 1.003918647766113281e-01 4.503377914428710938e+00
6.842105263157893802e-01 1.007650494575500488e-01 4.565553188323974609e+00
7.368421052631578538e-01 1.005784869194030762e-01 4.414144515991210938e+00
7.894736842105263275e-01 1.005784869194030762e-01 4.100653171539306641e+00
8.421052631578946901e-01 1.007650494575500488e-01 3.961895942687988281e+00
8.947368421052630527e-01 1.009516716003417969e-01 4.092853546142578125e+00
9.473684210526315264e-01 1.009516716003417969e-01 4.148498058319091797e+00
1.000000000000000000e+00 1.009516716003417969e-01 4.075536727905273438e+00
