# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 75% mix of adv vali samples random
# Epsilon Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.005000948905944824e+00 5.685009956359863281e-01
5.263157894736841813e-02 1.153312325477600098e+00 5.413624644279479980e-01
1.052631578947368363e-01 1.192312121391296387e+00 4.756604433059692383e-01
1.578947368421052544e-01 1.226385593414306641e+00 4.359511435031890869e-01
2.105263157894736725e-01 1.299533486366271973e+00 4.127410352230072021e-01
2.631578947368420907e-01 1.358313202857971191e+00 4.001047611236572266e-01
3.157894736842105088e-01 1.460981607437133789e+00 3.958817422389984131e-01
3.684210526315789269e-01 1.534502744674682617e+00 3.923134803771972656e-01
4.210526315789473450e-01 2.063930034637451172e+00 3.892362713813781738e-01
4.736842105263157632e-01 2.552118062973022461e+00 3.949978649616241455e-01
5.263157894736841813e-01 3.028363227844238281e+00 4.014469385147094727e-01
5.789473684210526550e-01 3.671132564544677734e+00 4.088126420974731445e-01
6.315789473684210176e-01 4.418100833892822266e+00 4.178806543350219727e-01
6.842105263157893802e-01 5.335473537445068359e+00 4.246243536472320557e-01
7.368421052631578538e-01 6.212503433227539062e+00 4.219399690628051758e-01
7.894736842105263275e-01 7.278522968292236328e+00 4.142796397209167480e-01
8.421052631578946901e-01 8.277402877807617188e+00 4.148361682891845703e-01
8.947368421052630527e-01 9.080836296081542969e+00 4.146724641323089600e-01
9.473684210526315264e-01 9.614779472351074219e+00 4.205322861671447754e-01
1.000000000000000000e+00 1.011864185333251953e+01 4.285527169704437256e-01
