# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 25% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.602910757064819336e-01 8.319089412689208984e-01 4.988706111907958984e-01
5.263157894736841813e-02 7.967907190322875977e-02 9.457735419273376465e-01 5.304285287857055664e-01
1.052631578947368363e-01 6.456428766250610352e-02 1.033737659454345703e+00 5.266638398170471191e-01
1.578947368421052544e-01 5.933940410614013672e-02 1.071916460990905762e+00 5.118014812469482422e-01
2.105263157894736725e-01 5.672699213027954102e-02 1.112931489944458008e+00 5.007693171501159668e-01
2.631578947368420907e-01 5.616718530654907227e-02 1.152341842651367188e+00 4.872491657733917236e-01
3.157894736842105088e-01 5.710017681121826172e-02 1.200970292091369629e+00 4.757914245128631592e-01
3.684210526315789269e-01 5.654036998748779297e-02 1.286322116851806641e+00 4.706518054008483887e-01
4.210526315789473450e-01 5.542081594467163086e-02 1.365366697311401367e+00 4.684584438800811768e-01
4.736842105263157632e-01 5.579400062561035156e-02 1.508714318275451660e+00 4.657740592956542969e-01
5.263157894736841813e-01 5.915284156799316406e-02 1.669191837310791016e+00 4.603398144245147705e-01
5.789473684210526550e-01 6.157863140106201172e-02 1.810935020446777344e+00 4.553311467170715332e-01
6.315789473684210176e-01 6.307148933410644531e-02 1.853368163108825684e+00 4.526794850826263428e-01
6.842105263157893802e-01 6.587052345275878906e-02 1.860384464263916016e+00 4.537925124168395996e-01
7.368421052631578538e-01 7.016235589981079102e-02 1.804478287696838379e+00 4.552329182624816895e-01
7.894736842105263275e-01 7.034891843795776367e-02 1.694756507873535156e+00 4.582446813583374023e-01
8.421052631578946901e-01 7.165515422821044922e-02 1.626646757125854492e+00 4.641045033931732178e-01
8.947368421052630527e-01 7.072216272354125977e-02 1.643366217613220215e+00 4.708154797554016113e-01
9.473684210526315264e-01 7.333457469940185547e-02 1.655084848403930664e+00 4.751694202423095703e-01
1.000000000000000000e+00 7.781302928924560547e-02 1.637245774269104004e+00 4.773627519607543945e-01
