# FGSM attack resnet50 model with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon
# Epsilon Model_accuracy Vali_adv_density
# Model_dataset & validation set: 0.99723816
0.000000000000000000e+00 5.280952453613281250e-01 9.972381591796875000e-01
5.263157894736841813e-02 5.476190447807312012e-01 1.192285656929016113e+00
1.052631578947368363e-01 5.733333230018615723e-01 1.299523830413818359e+00
1.578947368421052544e-01 5.957142710685729980e-01 1.305047631263732910e+00
2.105263157894736725e-01 6.142857074737548828e-01 1.219333410263061523e+00
2.631578947368420907e-01 6.333333253860473633e-01 1.047523856163024902e+00
3.157894736842105088e-01 6.466666758060455322e-01 8.156190514564514160e-01
3.684210526315789269e-01 6.599999964237213135e-01 5.648571252822875977e-01
4.210526315789473450e-01 6.642857193946838379e-01 3.535238206386566162e-01
4.736842105263157632e-01 6.190476119518280029e-01 2.896190285682678223e-01
5.263157894736841813e-01 5.623809397220611572e-01 2.287619113922119141e-01
5.789473684210526550e-01 4.871428608894348145e-01 1.783809512853622437e-01
6.315789473684210176e-01 4.323809742927551270e-01 1.344761997461318970e-01
6.842105263157893802e-01 3.909524083137512207e-01 1.048571467399597168e-01
7.368421052631578538e-01 3.471428751945495605e-01 8.152381330728530884e-02
7.894736842105263275e-01 3.066666722297668457e-01 6.800000369548797607e-02
8.421052631578946901e-01 2.714285850524902344e-01 6.085714697837829590e-02
8.947368421052630527e-01 2.366666793823242188e-01 5.723809450864791870e-02
9.473684210526315264e-01 2.028571367263793945e-01 5.761905014514923096e-02
1.000000000000000000e+00 1.757143139839172363e-01 5.942857265472412109e-02
